filename,R,G,B,HEX,L,a,b
black (1).jpg,128,82,65,#805241,40,17,18
black (2).jpg,146,94,69,#925e45,45,18,23
black (3).jpg,151,109,89,#976d59,50,14,18
black (4).jpg,55,43,37,#372b25,18,4,6
black (5).jpg,69,51,43,#45332b,23,6,9
black (6).jpg,154,118,101,#9a7665,53,11,15
black (7).jpg,92,73,68,#5c4944,33,7,6
black (8).jpg,138,105,74,#8a694a,47,9,22
black (9).jpg,115,74,50,#734a32,36,15,21
black (10).jpg,77,65,38,#4d4126,28,1,18
black (11).jpg,64,52,47,#40342f,23,4,5
black (12).jpg,98,54,40,#623628,28,18,17
black (13).jpg,79,63,48,#4f3f30,28,4,12
black (14).jpg,150,123,98,#967b62,54,7,18
black (15).jpg,126,97,77,#7e614d,44,9,16
black (16).jpg,119,90,87,#775a57,41,12,6
black (17).jpg,85,61,51,#553d33,28,9,10
black (18).jpg,88,59,44,#583b2c,28,11,15
black (19).jpg,168,114,82,#a87252,53,17,26
black (20).jpg,150,107,86,#966b56,49,14,19
black (21).jpg,98,65,52,#624134,31,13,14
black (22).jpg,141,111,97,#8d6f61,49,10,12
black (23).jpg,106,88,79,#6a584f,39,6,8
black (24).jpg,124,79,55,#7c4f37,38,16,22
black (25).jpg,101,65,54,#654136,31,14,13
black (26).jpg,98,54,40,#623628,28,18,17
black (27).jpg,120,104,93,#78685d,45,5,9
black (28).jpg,106,78,77,#6a4e4d,36,12,5
black (29).jpg,69,63,62,#453f3e,27,2,1
black (30).jpg,132,101,86,#846556,45,10,13
black (31).jpg,129,96,79,#81604f,44,11,15
black (32).jpg,150,106,76,#966a4c,49,14,24
black (33).jpg,148,106,92,#946a5c,49,15,15
black (34).jpg,111,95,81,#6f5f51,42,4,10
black (35).jpg,152,103,80,#986750,48,17,21
black (36).jpg,128,94,82,#805e52,43,12,12
black (37).jpg,119,68,47,#77442f,35,20,22
black (38).jpg,126,94,91,#7e5e5b,43,13,7
black (39).jpg,112,71,50,#704732,35,15,20
black (40).jpg,166,108,87,#a66c57,51,21,21
black (41).jpg,166,106,83,#a66a53,51,22,23
black (42).jpg,96,69,62,#60453e,32,11,9
black (43).jpg,159,102,69,#9f6645,49,19,28
black (44).jpg,168,111,82,#a86f52,52,19,25
black (45).jpg,166,106,83,#a66a53,51,22,23
black (46).jpg,191,136,112,#bf8870,62,18,21
black (47).jpg,154,108,80,#9a6c50,50,15,23
black (48).jpg,156,86,73,#9c5649,45,27,20
black (49).jpg,190,149,122,#be957a,65,12,20
black (50).jpg,71,66,62,#47423e,28,1,3
black (51).jpg,73,55,61,#49373d,25,9,-1
black (52).jpg,128,82,61,#80523d,40,17,20
black (53).jpg,135,101,101,#876565,46,14,5
black (54).jpg,161,109,80,#a16d50,51,17,25
black (55).jpg,150,118,97,#967661,52,9,16
black (56).jpg,68,48,33,#443021,22,7,13
black (57).jpg,155,97,57,#9b6139,47,20,32
black (58).jpg,122,93,83,#7a5d53,42,10,10
black (59).jpg,79,51,42,#4f332a,24,11,11
black (60).jpg,141,98,82,#8d6252,45,15,16
black (61).jpg,184,142,103,#b88e67,62,11,27
black (62).jpg,139,107,91,#8b6b5b,48,10,14
black (63).jpg,123,106,95,#7b6a5f,46,5,9
black (64).jpg,119,80,62,#77503e,38,14,17
black (65).jpg,116,78,64,#744e40,37,14,15
black (66).jpg,144,86,65,#905641,43,22,22
black (67).jpg,102,64,57,#664039,31,15,11
black (68).jpg,135,92,63,#875c3f,43,14,24
black (69).jpg,138,94,83,#8a5e53,44,16,14
black (70).jpg,121,90,81,#795a51,41,11,10
black (71).jpg,118,81,67,#765143,38,14,14
black (72).jpg,112,75,62,#704b3e,36,14,14
black (73).jpg,152,91,61,#985b3d,45,22,28
black (74).jpg,77,60,52,#4d3c34,27,6,8
black (75).jpg,98,71,37,#624725,33,7,25
black (76).jpg,133,104,85,#856855,46,9,15
black (77).jpg,95,80,64,#5f5040,35,4,12
black (78).jpg,91,73,71,#5b4947,33,7,4
black (79).jpg,138,93,82,#8a5d52,44,17,14
black (80).jpg,151,121,113,#977971,53,10,9
black (81).jpg,112,73,69,#704945,35,16,9
black (82).jpg,103,66,40,#674228,32,13,22
black (83).jpg,81,67,61,#51433d,30,5,6
black (84).jpg,179,137,106,#b3896a,60,12,23
black (85).jpg,145,107,86,#916b56,49,12,18
black (86).jpg,126,81,57,#7e5139,39,16,22
black (87).jpg,179,134,109,#b3866d,60,14,20
black (88).jpg,81,45,28,#512d1c,23,15,18
black (89).jpg,86,61,62,#563d3e,29,12,4
black (90).jpg,108,93,54,#6c5d36,40,0,25
black (91).jpg,142,106,92,#8e6a5c,48,12,13
black (92).jpg,101,62,43,#653e2b,30,15,19
black (93).jpg,98,86,72,#625648,37,3,10
black (94).jpg,110,59,32,#6e3b20,31,20,26
black (95).jpg,106,72,56,#6a4838,34,12,15
black (96).jpg,125,82,50,#7d5232,39,14,26
black (97).jpg,132,76,46,#844c2e,38,21,28
black (98).jpg,120,93,77,#785d4d,42,9,13
black (99).jpg,110,79,72,#6e4f48,37,12,9
black (100).jpg,150,107,94,#966b5e,49,15,14
black (101).jpg,153,112,95,#99705f,51,14,16
black (102).jpg,92,73,68,#5c4944,33,7,6
black (103).jpg,116,83,70,#745346,38,12,13
black (104).jpg,132,81,59,#84513b,40,19,22
black (105).jpg,89,73,64,#594940,33,5,8
black (106).jpg,119,92,72,#775c48,41,8,16
black (107).jpg,101,52,44,#65342c,28,21,15
black (108).jpg,146,94,69,#925e45,45,18,23
black (109).jpg,101,80,56,#655038,36,5,17
black (110).jpg,115,88,80,#735850,40,10,9
black (111).jpg,55,43,37,#372b25,18,4,6
black (112).jpg,69,51,43,#45332b,23,6,9
black (113).jpg,154,118,101,#9a7665,53,11,15
black (114).jpg,131,97,94,#83615e,45,13,7
black (115).jpg,126,102,82,#7e6652,45,6,15
black (116).jpg,138,105,74,#8a694a,47,9,22
black (117).jpg,143,109,95,#8f6d5f,49,11,13
black (118).jpg,84,51,35,#543323,25,13,17
black (119).jpg,64,52,47,#40342f,23,4,5
black (120).jpg,169,128,111,#a9806f,57,13,15
black (121).jpg,106,78,77,#6a4e4d,36,12,5
black (122).jpg,69,63,62,#453f3e,27,2,1
black (123).jpg,132,101,86,#846556,45,10,13
black (124).jpg,129,96,79,#81604f,44,11,15
black (125).jpg,150,106,76,#966a4c,49,14,24
black (126).jpg,148,106,92,#946a5c,49,15,15
black (127).jpg,111,95,81,#6f5f51,42,4,10
black (128).jpg,88,59,44,#583b2c,28,11,15
black (129).jpg,110,80,64,#6e5040,37,11,14
black (130).jpg,153,106,83,#996a53,49,16,21
black (131).jpg,106,70,65,#6a4641,34,15,9
black (132).jpg,103,65,78,#67414e,32,19,-1
black (133).jpg,79,63,48,#4f3f30,28,4,12
black (134).jpg,116,96,85,#746055,42,6,9
black (135).jpg,112,91,74,#705b4a,40,6,13
black (136).jpg,156,113,90,#9c715a,51,14,19
black (137).jpg,150,123,98,#967b62,54,7,18
black (138).jpg,132,86,69,#845645,41,17,18
black (139).jpg,169,128,111,#a9806f,57,13,15
black (140).jpg,126,108,102,#7e6c66,47,6,6
black (141).jpg,69,50,48,#453230,23,8,5
black (142).jpg,126,97,77,#7e614d,44,9,16
