Filename,Hex,R,G,B,L,a,b
black (1).jpg,#8E472B,142,71,43,38.82,28.0,30.0
black (2).jpg,#704932,112,73,50,34.9,14.0,20.0
black (3).jpg,#534035,83,64,53,29.02,6.0,10.0
black (4).jpg,#3F2D23,63,45,35,20.39,6.0,10.0
black (5).jpg,#3A2920,58,41,32,18.43,6.0,9.0
black (6).jpg,#6E3E2A,110,62,42,31.76,19.0,21.0
black (7).jpg,#7F4024,127,64,36,34.51,25.0,29.0
black (8).jpg,#7D4F2B,125,79,43,38.04,15.0,29.0
black (9).jpg,#92522C,146,82,44,41.57,23.0,33.0
black (10).jpg,#3B2819,59,40,25,18.04,7.0,13.0
black (11).jpg,#553E34,85,62,52,28.24,9.0,10.0
black (12).jpg,#4F2D21,79,45,33,22.75,14.0,14.0
black (13).jpg,#4B351E,75,53,30,24.31,7.0,19.0
black (14).jpg,#725139,114,81,57,37.25,11.0,20.0
black (15).jpg,#865747,134,87,71,41.57,18.0,17.0
black (16).jpg,#733D2B,115,61,43,32.16,22.0,22.0
black (17).jpg,#7A4B3B,122,75,59,36.86,18.0,18.0
black (18).jpg,#603920,96,57,32,28.24,15.0,23.0
black (19).jpg,#955937,149,89,55,43.92,21.0,30.0
black (20).jpg,#C87A4A,200,122,74,58.82,26.0,39.0
black (21).jpg,#57291C,87,41,28,22.75,20.0,18.0
black (22).jpg,#834735,131,71,53,37.25,24.0,22.0
black (23).jpg,#703619,112,54,25,29.8,24.0,29.0
black (24).jpg,#9D6738,157,103,56,48.63,17.0,35.0
black (25).jpg,#7D4430,125,68,48,35.29,22.0,23.0
black (26).jpg,#9E6048,158,96,72,47.06,23.0,24.0
black (27).jpg,#846046,132,96,70,43.92,11.0,21.0
black (28).jpg,#473B3C,71,59,60,26.27,5.0,2.0
black (29).jpg,#733215,115,50,21,29.41,27.0,31.0
black (30).jpg,#613729,97,55,41,27.84,17.0,17.0
black (31).jpg,#90512F,144,81,47,41.18,23.0,31.0
black (32).jpg,#8E4723,142,71,35,38.43,27.0,34.0
black (33).jpg,#624125,98,65,37,30.59,11.0,23.0
black (34).jpg,#7C483A,124,72,58,36.47,21.0,18.0
black (35).jpg,#582814,88,40,20,22.35,20.0,23.0
black (36).jpg,#813A1C,129,58,28,33.33,29.0,32.0
black (37).jpg,#885239,136,82,57,40.39,20.0,24.0
black (38).jpg,#6D5356,109,83,86,38.04,11.0,2.0
black (39).jpg,#874435,135,68,53,37.25,27.0,22.0
black (40).jpg,#83472D,131,71,45,37.25,23.0,27.0
black (41).jpg,#A16B51,161,107,81,50.2,19.0,23.0
black (42).jpg,#803309,128,51,9,31.76,31.0,39.0
black (43).jpg,#995A42,153,90,66,45.1,23.0,25.0
black (44).jpg,#8F5844,143,88,68,43.14,20.0,21.0
black (45).jpg,#B56E4C,181,110,76,53.73,25.0,31.0
black (46).jpg,#844D38,132,77,56,38.82,21.0,22.0
black (47).jpg,#835A44,131,90,68,41.96,14.0,19.0
black (48).jpg,#9E6D4A,158,109,74,50.59,15.0,27.0
black (49).jpg,#6A4F3D,106,79,61,36.08,9.0,15.0
black (50).jpg,#9C4D32,156,77,50,42.35,31.0,31.0
black (51).jpg,#A96743,169,103,67,50.2,23.0,31.0
black (52).jpg,#9C6953,156,105,83,49.41,18.0,21.0
black (53).jpg,#8A7874,138,120,116,52.16,6.0,5.0
black (54).jpg,#784230,120,66,48,34.12,21.0,21.0
black (55).jpg,#B2725C,178,114,92,54.51,23.0,23.0
black (56).jpg,#B96F64,185,111,100,54.51,28.0,19.0
black (57).jpg,#B26F54,178,111,84,53.33,24.0,26.0
black (58).jpg,#A06A51,160,106,81,50.2,19.0,23.0
black (59).jpg,#874830,135,72,48,38.04,24.0,26.0
black (60).jpg,#A97F71,169,127,113,56.86,14.0,14.0
black (61).jpg,#BF7E6A,191,126,106,59.22,23.0,21.0
black (62).jpg,#936753,147,103,83,47.84,15.0,18.0
black (63).jpg,#A36856,163,104,86,49.8,22.0,20.0
black (64).jpg,#955238,149,82,56,42.35,25.0,27.0
black (65).jpg,#92514B,146,81,75,41.96,27.0,15.0
black (66).jpg,#925940,146,89,64,43.92,21.0,24.0
black (67).jpg,#805232,128,82,50,39.22,16.0,27.0
black (68).jpg,#91523A,145,82,58,41.96,24.0,25.0
black (69).jpg,#A2513E,162,81,62,44.31,32.0,27.0
black (70).jpg,#6C3A27,108,58,39,30.2,20.0,21.0
black (71).jpg,#87583E,135,88,62,41.96,17.0,23.0
black (72).jpg,#86441B,134,68,27,36.47,25.0,36.0
black (73).jpg,#844A36,132,74,54,38.04,22.0,23.0
black (74).jpg,#593E21,89,62,33,28.63,8.0,23.0
black (75).jpg,#5F4639,95,70,57,32.16,9.0,12.0
black (76).jpg,#604E3A,96,78,58,34.51,4.0,15.0
black (77).jpg,#A96C50,169,108,80,51.76,21.0,26.0
black (78).jpg,#A46D50,164,109,80,51.37,19.0,25.0
black (79).jpg,#965B3D,150,91,61,44.71,21.0,27.0
black (80).jpg,#915D3E,145,93,62,44.71,18.0,26.0
black (81).jpg,#795348,121,83,72,39.22,14.0,13.0
black (82).jpg,#955438,149,84,56,42.75,24.0,28.0
black (83).jpg,#542A1D,84,42,29,22.35,18.0,17.0
black (84).jpg,#81513D,129,81,61,39.61,18.0,20.0
black (85).jpg,#8B5032,139,80,50,40.39,22.0,28.0
black (86).jpg,#8F593E,143,89,62,43.14,19.0,25.0
black (87).jpg,#825343,130,83,67,40.0,18.0,17.0
black (88).jpg,#733C30,115,60,48,32.16,23.0,18.0
black (89).jpg,#6D4A2B,109,74,43,34.51,11.0,24.0
black (90).jpg,#815036,129,80,54,39.22,18.0,24.0
black (91).jpg,#8D4D32,141,77,50,40.0,25.0,28.0
black (92).jpg,#684531,104,69,49,32.55,13.0,18.0
black (93).jpg,#773516,119,53,22,30.59,27.0,32.0
black (94).jpg,#8C4823,140,72,35,38.43,26.0,34.0
black (95).jpg,#985A39,152,90,57,44.71,22.0,30.0
black (96).jpg,#5A4439,90,68,57,30.98,8.0,10.0
black (97).jpg,#875138,135,81,56,40.0,20.0,24.0
black (98).jpg,#6E4635,110,70,53,33.73,15.0,17.0
black (99).jpg,#623F3D,98,63,61,30.59,15.0,8.0
black (100).jpg,#713316,113,51,22,29.41,26.0,31.0
black (101).jpg,#534035,83,64,53,29.02,6.0,10.0
black (102).jpg,#6D3820,109,56,32,29.8,21.0,25.0
black (103).jpg,#654B35,101,75,53,34.12,8.0,17.0
black (104).jpg,#58402D,88,64,45,29.41,8.0,16.0
black (105).jpg,#7D3F2B,125,63,43,34.12,25.0,24.0
black (106).jpg,#7F5A48,127,90,72,41.57,13.0,16.0
black (107).jpg,#412F25,65,47,37,21.18,7.0,10.0
black (108).jpg,#472A22,71,42,34,20.39,13.0,11.0
black (109).jpg,#7C5E44,124,94,68,42.35,8.0,20.0
black (110).jpg,#634628,99,70,40,32.16,9.0,23.0
black (111).jpg,#653321,101,51,33,27.45,20.0,21.0
black (112).jpg,#4D3930,77,57,48,25.88,7.0,9.0
black (113).jpg,#96563B,150,86,59,43.53,24.0,27.0
black (114).jpg,#7A3D32,122,61,50,33.33,25.0,19.0
black (115).jpg,#643E22,100,62,34,30.2,14.0,24.0
black (116).jpg,#703516,112,53,22,29.8,23.0,31.0
black (117).jpg,#5F3819,95,56,25,27.84,14.0,26.0
black (118).jpg,#8A563F,138,86,63,41.96,19.0,22.0
black (119).jpg,#AD6746,173,103,70,50.59,25.0,30.0
black (120).jpg,#4D1D11,77,29,17,18.04,22.0,19.0
black (121).jpg,#462E2C,70,46,44,21.57,11.0,6.0
black (122).jpg,#563C2C,86,60,44,27.84,9.0,15.0
black (123).jpg,#795032,121,80,50,38.04,14.0,24.0
black (124).jpg,#715138,113,81,56,37.25,10.0,20.0
black (125).jpg,#6E2E24,110,46,36,27.84,28.0,20.0
,nan,0,0,0,0.0,0.0,0.0
,nan,0,0,0,0.0,0.0,0.0
,nan,0,0,0,0.0,0.0,0.0
