Filename,Hex,R,G,B,L,A,B_lab
brown (1).jpg,#E09E7C,224,158,124,180,149,156
brown (2).jpg,#CC926A,204,146,106,167,145,158
brown (3).jpg,#BC846B,188,132,107,154,146,150
brown (4).jpg,#CC835A,204,131,90,157,152,162
brown (5).jpg,#C59179,197,145,121,165,144,148
brown (6).jpg,#CE8467,206,132,103,159,153,155
brown (7).jpg,#B0964F,176,150,79,161,129,169
brown (8).jpg,#B7835C,183,131,92,151,143,157
brown (9).jpg,#C88D7D,200,141,125,163,148,146
brown (10).jpg,#B77F4C,183,127,76,148,144,164
brown (11).jpg,#CA8D71,202,141,113,163,148,152
brown (12).jpg,#B37B56,179,123,86,144,146,157
brown (13).jpg,#A77463,167,116,99,137,146,145
brown (14).jpg,#BA8245,186,130,69,150,143,169
brown (15).jpg,#C98B74,201,139,116,162,149,150
brown (16).jpg,#C6997C,198,153,124,170,141,150
brown (17).jpg,#C18168,193,129,104,153,150,152
brown (18).jpg,#CE8F70,206,143,112,166,148,154
brown (19).jpg,#9D5C34,157,92,52,117,151,162
brown (20).jpg,#CA7846,202,120,70,149,156,169
brown (21).jpg,#C48156,196,129,86,153,149,162
brown (22).jpg,#B2724E,178,114,78,138,149,158
brown (23).jpg,#B9764B,185,118,75,143,150,162
brown (24).jpg,#A5663A,165,102,58,126,149,163
brown (25).jpg,#995C38,153,92,56,115,149,159
brown (26).jpg,#B97548,185,117,72,142,150,164
brown (27).jpg,#C08460,192,132,96,154,147,157
brown (28).jpg,#A1756C,161,117,108,136,144,140
brown (29).jpg,#BC8A73,188,138,115,158,144,148
brown (30).jpg,#C88D6D,200,141,109,163,147,154
brown (31).jpg,#CE9880,206,152,128,172,145,149
brown (32).jpg,#B66749,182,103,73,133,157,159
brown (33).jpg,#B67849,182,120,73,143,147,163
brown (34).jpg,#C78E7A,199,142,122,164,147,147
brown (35).jpg,#C58257,197,130,87,154,149,162
brown (36).jpg,#CB8D66,203,141,102,163,147,158
brown (37).jpg,#CA7F62,202,127,98,154,154,156
brown (38).jpg,#C49277,196,146,119,165,143,150
brown (39).jpg,#B26F52,178,111,82,136,151,155
brown (40).jpg,#C87144,200,113,68,144,158,167
brown (41).jpg,#C38765,195,135,101,157,147,156
brown (42).jpg,#C38258,195,130,88,153,149,161
brown (43).jpg,#D28F62,210,143,98,166,148,162
brown (44).jpg,#AD6638,173,102,56,128,152,165
brown (45).jpg,#B2744F,178,116,79,139,148,158
brown (46).jpg,#B67652,182,118,82,142,149,158
brown (47).jpg,#B8854C,184,133,76,152,141,166
brown (48).jpg,#B16F4E,177,111,78,136,151,157
brown (49).jpg,#C4733B,196,115,59,144,155,172
brown (50).jpg,#B5836A,181,131,106,151,144,149
brown (51).jpg,#BF8560,191,133,96,154,146,157
brown (52).jpg,#AC6343,172,99,67,127,154,159
brown (53).jpg,#BA673F,186,103,63,134,158,165
brown (54).jpg,#CDA069,205,160,105,176,138,163
brown (55).jpg,#D8946F,216,148,111,172,150,158
brown (56).jpg,#CF8B68,207,139,104,163,150,157
brown (57).jpg,#CA8B68,202,139,104,162,148,156
brown (58).jpg,#A7674E,167,103,78,128,151,153
brown (59).jpg,#C4805D,196,128,93,153,151,158
brown (60).jpg,#D99976,217,153,118,175,148,156
brown (61).jpg,#AC6A48,172,106,72,131,151,158
brown (62).jpg,#9E6946,158,105,70,126,145,156
brown (63).jpg,#C79887,199,152,135,170,143,144
brown (64).jpg,#D09376,208,147,118,169,147,152
brown (65).jpg,#AF6F4C,175,111,76,135,150,158
brown (66).jpg,#A4645B,164,100,91,126,153,144
brown (67).jpg,#BF6E4B,191,110,75,140,157,161
brown (68).jpg,#A1705F,161,112,95,132,145,145
brown (69).jpg,#A56B56,165,107,86,130,149,149
brown (70).jpg,#B97A63,185,122,99,146,150,151
brown (71).jpg,#D28156,210,129,86,158,155,164
brown (72).jpg,#B77A53,183,122,83,145,148,159
brown (73).jpg,#A97357,169,115,87,136,146,152
brown (74).jpg,#A0755C,160,117,92,135,141,148
brown (75).jpg,#C58A6C,197,138,108,160,147,153
brown (76).jpg,#D8A76C,216,167,108,183,139,165
brown (77).jpg,#C17E6B,193,126,107,151,152,149
brown (78).jpg,#C78378,199,131,120,157,153,145
brown (79).jpg,#C18B69,193,139,105,159,144,154
brown (80).jpg,#C17C68,193,124,104,150,152,150
brown (81).jpg,#A76F55,167,111,85,133,147,152
brown (82).jpg,#D69773,214,151,115,173,147,156
brown (83).jpg,#B46848,180,104,72,132,155,159
brown (84).jpg,#CC7D5D,204,125,93,154,155,158
brown (85).jpg,#D39976,211,153,118,173,145,155
brown (86).jpg,#B5723E,181,114,62,138,150,167
brown (87).jpg,#D2895E,210,137,94,163,151,162
