Filename,Hex,R,G,B,L,A,B_lab
foto (1).jpg,#EDCAAE,237,202,174,213,136,147
foto (2).jpg,#F1E3E2,241,227,226,233,133,130
foto (3).jpg,#E6BFB7,230,191,183,205,141,137
foto (4).jpg,#FBE7DF,251,231,223,237,133,134
foto (5).jpg,#FCCBAE,252,203,174,218,141,149
foto (6).jpg,#E4D0E4,228,208,228,218,139,121
foto (7).jpg,#EEC3A5,238,195,165,209,139,149
foto (8).jpg,#EBCFCB,235,207,203,218,137,134
foto (9).jpg,#D0A8A0,208,168,160,184,141,138
foto (10).jpg,#E4C6BC,228,198,188,210,137,137
foto (11).jpg,#E2DCD5,226,220,213,225,129,132
foto (12).jpg,#ECD8CF,236,216,207,224,133,135
foto (13).jpg,#F2D5C9,242,213,201,223,136,138
foto (14).jpg,#F0C6B8,240,198,184,212,141,141
foto (15).jpg,#EEC6C1,238,198,193,212,141,136
foto (16).jpg,#FAE5D1,250,229,209,235,132,140
foto (17).jpg,#E3AF8A,227,175,138,192,142,154
foto (18).jpg,#FEDAC8,254,218,200,229,138,141
foto (19).jpg,#E5DAD8,229,218,216,224,131,130
foto (20).jpg,#FFDDCA,255,221,202,231,137,142
foto (21).jpg,#F0DCD2,240,220,210,227,133,135
foto (22).jpg,#FBE4CD,251,228,205,234,132,142
foto (23).jpg,#EFCFB9,239,207,185,218,136,143
foto (24).jpg,#E7AFA0,231,175,160,194,146,144
foto (25).jpg,#EFE0DA,239,224,218,230,132,133
foto (26).jpg,#EBD3C9,235,211,201,220,135,136
foto (27).jpg,#EED2AC,238,210,172,219,132,150
foto (28).jpg,#E5C2B4,229,194,180,207,138,140
foto (29).jpg,#F3E0C7,243,224,199,230,131,143
foto (30).jpg,#F7D3C7,247,211,199,223,139,139
foto (31).jpg,#F8D4C1,248,212,193,223,138,142
foto (32).jpg,#EDBFA6,237,191,166,206,141,147
foto (33).jpg,#E6C4BB,230,196,187,209,139,137
foto (34).jpg,#FCE9E2,252,233,226,239,133,134
foto (35).jpg,#FCECED,252,236,237,242,134,129
foto (36).jpg,#E2CEBD,226,206,189,214,132,139
foto (37).jpg,#FCDDCA,252,221,202,230,136,141
foto (38).jpg,#FECFAD,254,207,173,220,140,151
foto (39).jpg,#E1BFA3,225,191,163,203,136,147
foto (40).jpg,#FCD5C6,252,213,198,225,139,140
foto (41).jpg,#F5EDF1,245,237,241,241,131,127
foto (42).jpg,#F0D0C6,240,208,198,219,138,137
foto (43).jpg,#E6CEC2,230,206,194,215,134,137
foto (44).jpg,#FFDAB7,255,218,183,228,136,150
foto (45).jpg,#F9E5DC,249,229,220,235,133,135
foto (46).jpg,#EDB9A0,237,185,160,202,143,148
foto (47).jpg,#EEBBAA,238,187,170,204,144,144
foto (48).jpg,#EEDBCD,238,219,205,226,132,137
foto (49).jpg,#D9CCD0,217,204,208,212,133,128
foto (50).jpg,#F0B7A7,240,183,167,202,146,144
foto (51).jpg,#D1ACA1,209,172,161,187,140,139
foto (52).jpg,#F4DAD0,244,218,208,227,135,136
foto (53).jpg,#EFDDDB,239,221,219,228,134,131
foto (54).jpg,#F6D4C2,246,212,194,223,137,141
foto (55).jpg,#E3C7B2,227,199,178,209,135,142
foto (56).jpg,#DDCAC6,221,202,198,211,134,132
foto (57).jpg,#EACED3,234,206,211,217,139,129
foto (58).jpg,#F4C0AB,244,192,171,209,144,146
foto (59).jpg,#FFDFCE,255,223,206,232,136,140
foto (60).jpg,#F2DFE0,242,223,224,231,135,130
foto (61).jpg,#E1C7B0,225,199,176,209,134,143
foto (62).jpg,#E5CFCA,229,207,202,216,135,133
foto (63).jpg,#E8BFBB,232,191,187,206,142,135
foto (64).jpg,#F3EFF0,243,239,240,242,130,128
foto (65).jpg,#EFD6AD,239,214,173,221,131,151
foto (66).jpg,#F7DBCF,247,219,207,228,136,137
foto (67).jpg,#E9AC99,233,172,153,193,148,147
foto (68).jpg,#C0B7C4,192,183,196,193,134,123
foto (69).jpg,#F6D4CC,246,212,204,223,139,136
foto (70).jpg,#F9D5C7,249,213,199,224,138,140
foto (71).jpg,#FFD7C4,255,215,196,227,139,143
foto (72).jpg,#E9D3CD,233,211,205,220,135,134
foto (73).jpg,#F1C0A5,241,192,165,208,142,148
foto (74).jpg,#F1D0C7,241,208,199,219,138,137
foto (75).jpg,#F9B28C,249,178,140,200,149,158
foto (76).jpg,#F4D8CD,244,216,205,225,136,137
foto (77).jpg,#F4E7D7,244,231,215,235,130,137
foto (78).jpg,#F1AB91,241,171,145,194,151,152
foto (79).jpg,#FFDAC5,255,218,197,229,138,143
foto (80).jpg,#D3BEB8,211,190,184,200,134,134
foto (81).jpg,#F5D2BE,245,210,190,221,137,142
foto (82).jpg,#F5C5C0,245,197,192,213,144,137
foto (83).jpg,#ECBAB3,236,186,179,204,145,138
foto (84).jpg,#F6EDE8,246,237,232,241,130,131
foto (85).jpg,#FDD0BA,253,208,186,221,141,145
foto (86).jpg,#F9A88C,249,168,140,194,155,155
foto (87).jpg,#FFECBC,255,236,188,239,127,154
foto (88).jpg,#E6B7A7,230,183,167,199,143,143
foto (89).jpg,#EDBEA4,237,190,164,205,141,148
foto (90).jpg,#FCE1C7,252,225,199,232,133,144
foto (91).jpg,#E8DCDA,232,220,218,226,132,130
foto (92).jpg,#E0BAA7,224,186,167,200,139,143
foto (93).jpg,#E7D4C6,231,212,198,220,132,137
foto (94).jpg,#F8E4C9,248,228,201,234,131,144
foto (95).jpg,#F5D6D4,245,214,212,225,139,133
foto (96).jpg,#EFD8DB,239,216,219,225,136,129
foto (97).jpg,#BA9BA3,186,155,163,171,141,128
foto (98).jpg,#EAB098,234,176,152,195,146,149
foto (99).jpg,#F2D5C5,242,213,197,223,136,140
foto (100).jpg,#B6A498,182,164,152,175,132,137
foto (101).jpg,#F6D1BC,246,209,188,221,138,143
foto (102).jpg,#E4D4D7,228,212,215,220,134,129
foto (103).jpg,#EDE3E2,237,227,226,232,131,130
foto (104).jpg,#F2E3CE,242,227,206,232,130,140
foto (105).jpg,#E0C6C1,224,198,193,209,136,134
foto (106).jpg,#EDD1B8,237,209,184,218,134,144
foto (107).jpg,#EDC5B1,237,197,177,210,139,143
foto (108).jpg,#E4BDB6,228,189,182,204,141,137
foto (109).jpg,#E8D2CB,232,210,203,219,134,134
foto (110).jpg,#C99E8B,201,158,139,175,141,144
foto (111).jpg,#E7C3AB,231,195,171,207,137,145
foto (112).jpg,#E5DCD2,229,220,210,225,129,134
foto (113).jpg,#F3CDB9,243,205,185,217,138,143
foto (114).jpg,#E3C4B9,227,196,185,208,137,138
foto (115).jpg,#E2CBC1,226,203,193,213,134,136
foto (116).jpg,#F9E9DF,249,233,223,238,132,135
foto (117).jpg,#F7E6DC,247,230,220,236,132,135
foto (118).jpg,#F3B898,243,184,152,203,145,152
foto (119).jpg,#E0C5BA,224,197,186,208,136,137
foto (120).jpg,#E3B89F,227,184,159,199,140,147
foto (121).jpg,#E5CAB9,229,202,185,212,135,140
foto (122).jpg,#E1CFC3,225,207,195,215,132,136
foto (123).jpg,#E9C2B5,233,194,181,208,140,140
foto (124).jpg,#EEBEA6,238,190,166,206,142,147
foto (125).jpg,#E5B8BB,229,184,187,201,145,133
foto (126).jpg,#F1B4A1,241,180,161,200,148,146
foto (127).jpg,#E1BDA2,225,189,162,202,137,146
foto (128).jpg,#F0CEBB,240,206,187,217,137,142
foto (129).jpg,#E4CADD,228,202,221,214,140,122
foto (130).jpg,#EAABA1,234,171,161,193,150,142
foto (131).jpg,#ECC1A3,236,193,163,207,139,149
foto (132).jpg,#ECC6B2,236,198,178,211,138,143
foto (133).jpg,#F8C9B7,248,201,183,216,142,143
foto (134).jpg,#F7D2E4,247,210,228,224,144,124
foto (135).jpg,#FAAA9F,250,170,159,197,156,146
foto (136).jpg,#F5E8DD,245,232,221,237,131,135
foto (137).jpg,#E0A892,224,168,146,188,146,147
foto (138).jpg,#EBC2B0,235,194,176,208,140,143
foto (139).jpg,#E0BCB6,224,188,182,202,140,136
foto (140).jpg,#E3BDB9,227,189,185,204,141,135
foto (141).jpg,#E0BF96,224,191,150,202,134,153
foto (142).jpg,#EDC39F,237,195,159,208,138,152
