filename,label,R,G,B,L,A,B_lab,status
black (1).jpg,Black,113,63,46,83,148,148,ok
black (10).jpg,Black,232,189,160,203,139,148,ok
black (100).jpg,Black,228,184,153,199,140,150,ok
black (101).jpg,Black,199,181,168,191,132,137,ok
black (102).jpg,Black,223,179,159,195,141,144,ok
black (103).jpg,Black,217,191,173,202,134,141,ok
black (104).jpg,Black,223,184,152,198,137,150,ok
black (105).jpg,Black,97,56,45,72,145,143,ok
black (106).jpg,Black,229,184,156,199,140,148,ok
black (107).jpg,Black,210,191,180,201,133,136,ok
black (108).jpg,Black,230,179,150,196,143,150,ok
black (109).jpg,Black,218,188,161,199,135,146,ok
black (11).jpg,Black,210,186,178,197,135,135,ok
black (110).jpg,Black,230,182,161,199,142,145,ok
black (111).jpg,Black,234,189,159,204,140,149,ok
black (112).jpg,Black,210,186,178,197,135,135,ok
black (113).jpg,Black,229,180,145,196,141,153,ok
black (114).jpg,Black,226,182,177,198,143,137,ok
black (115).jpg,Black,232,180,146,197,142,153,ok
black (116).jpg,Black,223,185,159,199,138,146,ok
black (117).jpg,Black,221,179,154,194,140,147,ok
black (118).jpg,Black,230,186,159,201,140,148,ok
black (119).jpg,Black,227,182,160,198,141,145,ok
black (12).jpg,Black,233,181,157,198,144,147,ok
black (120).jpg,Black,223,177,163,194,143,142,ok
black (121).jpg,Black,216,184,166,197,137,141,ok
black (122).jpg,Black,80,61,48,70,134,139,ok
black (123).jpg,Black,215,182,164,195,137,142,ok
black (124).jpg,Black,211,170,139,185,139,150,ok
black (125).jpg,Black,236,187,163,203,142,147,ok
black (13).jpg,Black,80,61,48,70,134,139,ok
black (14).jpg,Black,211,170,139,185,139,150,ok
black (15).jpg,Black,238,174,143,195,148,153,ok
black (16).jpg,Black,229,176,167,195,146,140,ok
black (17).jpg,Black,219,186,172,199,138,139,ok
black (18).jpg,Black,221,179,154,194,140,147,ok
black (19).jpg,Black,234,187,154,202,140,151,ok
black (2).jpg,Black,225,195,176,206,136,141,ok
black (20).jpg,Black,239,188,154,204,142,152,ok
black (21).jpg,Black,220,174,153,191,142,145,ok
black (22).jpg,Black,230,184,163,200,142,145,ok
black (23).jpg,Black,214,187,175,199,136,138,ok
black (24).jpg,Black,226,179,143,195,140,153,ok
black (25).jpg,Black,91,52,47,68,145,139,ok
black (26).jpg,Black,104,64,46,80,143,146,ok
black (27).jpg,Black,238,175,129,195,146,161,ok
black (28).jpg,Black,226,182,177,198,143,137,ok
black (29).jpg,Black,228,182,149,197,140,151,ok
black (3).jpg,Black,224,181,160,196,140,145,ok
black (30).jpg,Black,229,180,164,197,143,143,ok
black (31).jpg,Black,232,180,146,197,142,153,ok
black (32).jpg,Black,233,171,136,191,146,155,ok
black (33).jpg,Black,203,183,170,193,133,137,ok
black (34).jpg,Black,228,183,162,199,141,145,ok
black (35).jpg,Black,88,60,57,72,140,135,ok
black (36).jpg,Black,227,181,163,197,142,144,ok
black (37).jpg,Black,220,186,167,199,137,142,ok
black (38).jpg,Black,229,184,155,199,140,149,ok
black (39).jpg,Black,235,188,159,203,141,149,ok
black (4).jpg,Black,210,191,180,201,133,136,ok
black (40).jpg,Black,228,184,149,199,139,152,ok
black (41).jpg,Black,233,177,151,196,145,149,ok
black (42).jpg,Black,207,179,169,192,136,137,ok
black (43).jpg,Black,99,52,36,70,147,147,ok
black (44).jpg,Black,224,175,155,192,143,145,ok
black (45).jpg,Black,237,185,156,202,143,150,ok
black (46).jpg,Black,224,185,155,199,138,149,ok
black (47).jpg,Black,234,176,136,195,144,157,ok
black (48).jpg,Black,225,170,150,189,145,146,ok
black (49).jpg,Black,236,177,154,197,146,148,ok
black (5).jpg,Black,230,167,124,187,146,159,ok
black (50).jpg,Black,237,181,154,199,145,150,ok
black (51).jpg,Black,236,190,158,205,140,150,ok
black (52).jpg,Black,230,177,146,195,143,151,ok
black (53).jpg,Black,236,180,147,198,144,153,ok
black (54).jpg,Black,96,59,47,74,143,142,ok
black (55).jpg,Black,234,180,145,197,143,153,ok
black (56).jpg,Black,224,177,165,194,143,141,ok
black (57).jpg,Black,230,179,158,197,144,146,ok
black (58).jpg,Black,228,192,175,205,138,141,ok
black (59).jpg,Black,227,187,170,201,140,142,ok
black (6).jpg,Black,226,181,159,197,141,145,ok
black (60).jpg,Black,215,183,172,196,138,138,ok
black (61).jpg,Black,221,164,150,185,147,144,ok
black (62).jpg,Black,225,184,164,199,140,144,ok
black (63).jpg,Black,228,187,173,202,141,141,ok
black (64).jpg,Black,226,174,139,191,142,153,ok
black (65).jpg,Black,227,182,144,197,139,154,ok
black (66).jpg,Black,223,186,159,199,137,147,ok
black (67).jpg,Black,214,169,158,186,143,140,ok
black (68).jpg,Black,231,184,145,199,140,154,ok
black (69).jpg,Black,227,184,146,198,138,153,ok
black (7).jpg,Black,195,141,116,161,145,149,ok
black (70).jpg,Black,96,55,43,71,145,143,ok
black (71).jpg,Black,224,179,162,195,142,143,ok
black (72).jpg,Black,230,181,156,198,142,148,ok
black (73).jpg,Black,87,59,39,70,137,145,ok
black (74).jpg,Black,214,191,178,201,134,138,ok
black (75).jpg,Black,212,181,148,193,134,149,ok
black (76).jpg,Black,227,194,160,205,135,149,ok
black (77).jpg,Black,234,186,159,202,142,148,ok
black (78).jpg,Black,218,179,161,194,139,143,ok
black (79).jpg,Black,238,180,139,198,144,157,ok
black (8).jpg,Black,235,180,150,198,144,151,ok
black (80).jpg,Black,190,162,156,176,137,135,ok
black (81).jpg,Black,214,184,172,197,137,138,ok
black (82).jpg,Black,232,178,152,196,144,149,ok
black (83).jpg,Black,229,178,169,196,145,140,ok
black (84).jpg,Black,200,153,136,171,143,144,ok
black (85).jpg,Black,204,178,171,190,136,135,ok
black (86).jpg,Black,231,175,139,193,144,154,ok
black (87).jpg,Black,223,177,157,193,142,145,ok
black (88).jpg,Black,234,188,161,203,141,148,ok
black (89).jpg,Black,110,69,65,86,145,138,ok
black (9).jpg,Black,233,177,139,195,144,155,ok
black (90).jpg,Black,227,181,144,196,140,153,ok
black (91).jpg,Black,229,178,148,195,143,150,ok
black (92).jpg,Black,226,183,156,198,140,148,ok
black (93).jpg,Black,236,176,142,195,146,154,ok
black (94).jpg,Black,227,188,169,202,139,143,ok
black (95).jpg,Black,227,178,149,195,142,150,ok
black (96).jpg,Black,90,66,56,77,137,138,ok
black (97).jpg,Black,211,160,134,179,144,149,ok
black (98).jpg,Black,209,162,145,180,143,143,ok
black (99).jpg,Black,233,185,165,201,142,145,ok
brown (1).jpg,Brown,231,173,139,192,145,154,ok
brown (10).jpg,Brown,245,187,163,205,146,148,ok
brown (100).jpg,Brown,236,181,151,199,144,151,ok
brown (101).jpg,Brown,221,178,147,193,139,150,ok
brown (102).jpg,Brown,226,180,156,196,141,147,ok
brown (103).jpg,Brown,224,187,151,200,136,151,ok
brown (104).jpg,Brown,231,185,151,200,140,152,ok
brown (105).jpg,Brown,231,184,167,200,142,143,ok
brown (106).jpg,Brown,235,188,154,203,140,152,ok
brown (107).jpg,Brown,223,175,147,192,142,149,ok
brown (108).jpg,Brown,230,183,153,199,141,150,ok
brown (109).jpg,Brown,223,173,127,190,140,159,ok
brown (11).jpg,Brown,244,196,154,210,140,156,ok
brown (110).jpg,Brown,227,180,152,196,141,149,ok
brown (111).jpg,Brown,105,62,42,79,145,148,ok
brown (112).jpg,Brown,86,61,47,72,137,141,ok
brown (113).jpg,Brown,214,186,170,198,135,140,ok
brown (114).jpg,Brown,230,180,151,197,142,150,ok
brown (115).jpg,Brown,231,195,172,207,137,144,ok
brown (116).jpg,Brown,130,70,51,94,152,151,ok
brown (117).jpg,Brown,231,192,146,204,136,156,ok
brown (118).jpg,Brown,229,178,168,196,145,140,ok
brown (119).jpg,Brown,239,169,133,192,149,157,ok
brown (12).jpg,Brown,236,191,151,205,139,154,ok
brown (120).jpg,Brown,235,193,163,207,139,149,ok
brown (121).jpg,Brown,236,183,151,200,143,152,ok
brown (122).jpg,Brown,231,183,161,199,142,146,ok
brown (123).jpg,Brown,106,65,46,82,144,147,ok
brown (124).jpg,Brown,235,182,150,199,143,152,ok
brown (125).jpg,Brown,196,156,118,171,138,154,ok
brown (13).jpg,Brown,232,189,179,204,142,139,ok
brown (14).jpg,Brown,231,195,171,207,137,145,ok
brown (15).jpg,Brown,228,185,167,200,141,143,ok
brown (16).jpg,Brown,232,186,159,201,141,148,ok
brown (17).jpg,Brown,241,188,161,205,143,149,ok
brown (18).jpg,Brown,244,191,162,208,143,150,ok
brown (19).jpg,Brown,111,67,43,85,144,151,ok
brown (2).jpg,Brown,236,185,150,201,142,153,ok
brown (20).jpg,Brown,232,179,139,196,142,156,ok
brown (21).jpg,Brown,232,178,139,195,143,155,ok
brown (22).jpg,Brown,101,58,35,74,145,150,ok
brown (23).jpg,Brown,231,186,151,201,139,152,ok
brown (24).jpg,Brown,238,185,139,201,141,159,ok
brown (25).jpg,Brown,230,188,167,203,140,144,ok
brown (26).jpg,Brown,228,177,146,194,143,151,ok
brown (27).jpg,Brown,236,188,161,204,141,148,ok
brown (28).jpg,Brown,228,186,157,200,139,148,ok
brown (29).jpg,Brown,231,188,166,203,140,145,ok
brown (3).jpg,Brown,226,171,137,190,144,153,ok
brown (30).jpg,Brown,237,193,157,207,139,152,ok
brown (31).jpg,Brown,233,188,152,203,139,152,ok
brown (32).jpg,Brown,234,183,162,200,143,146,ok
brown (33).jpg,Brown,228,187,163,201,139,146,ok
brown (34).jpg,Brown,230,165,126,186,147,158,ok
brown (35).jpg,Brown,232,189,161,203,139,148,ok
brown (36).jpg,Brown,233,185,149,201,140,153,ok
brown (37).jpg,Brown,134,73,38,96,151,160,ok
brown (38).jpg,Brown,227,184,157,199,140,148,ok
brown (39).jpg,Brown,226,181,154,197,140,148,ok
brown (4).jpg,Brown,236,179,131,197,143,161,ok
brown (40).jpg,Brown,224,176,148,193,142,149,ok
brown (41).jpg,Brown,222,192,141,202,131,158,ok
brown (42).jpg,Brown,229,184,155,199,140,149,ok
brown (43).jpg,Brown,243,185,135,202,143,161,ok
brown (44).jpg,Brown,229,190,168,204,139,144,ok
brown (45).jpg,Brown,243,179,130,199,146,162,ok
brown (46).jpg,Brown,233,194,138,206,135,161,ok
brown (47).jpg,Brown,241,188,155,205,143,152,ok
brown (48).jpg,Brown,244,193,154,208,141,155,ok
brown (49).jpg,Brown,227,176,142,193,142,153,ok
brown (5).jpg,Brown,242,178,140,198,147,157,ok
brown (50).jpg,Brown,234,184,159,201,143,148,ok
brown (51).jpg,Brown,228,192,170,205,138,144,ok
brown (52).jpg,Brown,233,184,158,200,142,148,ok
brown (53).jpg,Brown,233,181,150,198,143,151,ok
brown (54).jpg,Brown,226,189,168,202,138,144,ok
brown (55).jpg,Brown,231,187,160,202,140,148,ok
brown (56).jpg,Brown,228,184,178,200,143,137,ok
brown (57).jpg,Brown,238,186,153,203,142,152,ok
brown (58).jpg,Brown,226,187,171,201,140,141,ok
brown (59).jpg,Brown,226,163,126,184,147,156,ok
brown (6).jpg,Brown,214,195,150,203,128,153,ok
brown (60).jpg,Brown,242,202,171,214,138,149,ok
brown (61).jpg,Brown,109,63,37,81,146,152,ok
brown (62).jpg,Brown,242,196,166,210,140,149,ok
brown (63).jpg,Brown,231,191,142,204,136,158,ok
brown (64).jpg,Brown,233,186,169,202,143,143,ok
brown (65).jpg,Brown,230,181,166,198,144,142,ok
brown (66).jpg,Brown,232,190,155,204,138,151,ok
brown (67).jpg,Brown,234,182,170,200,145,141,ok
brown (68).jpg,Brown,225,184,164,199,140,144,ok
brown (69).jpg,Brown,235,186,162,202,142,147,ok
brown (7).jpg,Brown,232,187,152,202,139,152,ok
brown (70).jpg,Brown,242,181,148,200,146,153,ok
brown (71).jpg,Brown,231,188,166,203,140,145,ok
brown (72).jpg,Brown,238,181,159,200,146,147,ok
brown (73).jpg,Brown,232,191,161,205,138,149,ok
brown (74).jpg,Brown,233,187,159,202,141,148,ok
brown (75).jpg,Brown,240,187,154,204,143,152,ok
brown (76).jpg,Brown,234,192,163,206,139,148,ok
brown (77).jpg,Brown,227,168,131,188,145,156,ok
brown (78).jpg,Brown,233,184,162,201,143,146,ok
brown (79).jpg,Brown,227,182,160,198,141,145,ok
brown (8).jpg,Brown,229,187,167,202,140,144,ok
brown (80).jpg,Brown,240,175,152,196,149,149,ok
brown (81).jpg,Brown,232,185,159,201,141,148,ok
brown (82).jpg,Brown,118,67,50,87,148,148,ok
brown (83).jpg,Brown,239,181,145,199,144,155,ok
brown (84).jpg,Brown,234,181,158,199,144,147,ok
brown (85).jpg,Brown,239,184,152,202,144,152,ok
brown (86).jpg,Brown,239,189,157,205,142,151,ok
brown (87).jpg,Brown,227,188,170,202,139,142,ok
brown (88).jpg,Brown,225,187,165,201,138,144,ok
brown (89).jpg,Brown,220,194,175,204,134,141,ok
brown (9).jpg,Brown,232,184,137,199,139,159,ok
brown (90).jpg,Brown,234,188,167,204,142,145,ok
brown (91).jpg,Brown,239,183,158,201,145,149,ok
brown (92).jpg,Brown,238,191,139,205,138,161,ok
brown (93).jpg,Brown,233,179,173,198,147,139,ok
brown (94).jpg,Brown,230,184,168,200,142,142,ok
brown (95).jpg,Brown,229,193,166,205,137,146,ok
brown (96).jpg,Brown,237,191,176,207,142,142,ok
brown (97).jpg,Brown,237,175,158,196,148,146,ok
brown (98).jpg,Brown,232,184,150,200,141,152,ok
brown (99).jpg,Brown,238,191,138,205,138,161,ok
white (1).jpg,White,203,178,157,189,134,142,ok
white (10).jpg,White,202,184,176,194,133,134,ok
white (100).jpg,White,231,192,176,206,140,141,ok
white (101).jpg,White,223,181,164,196,141,142,ok
white (102).jpg,White,217,192,181,203,135,137,ok
white (103).jpg,White,215,193,179,203,133,138,ok
white (104).jpg,White,241,187,160,204,144,149,ok
white (105).jpg,White,222,199,180,208,133,140,ok
white (106).jpg,White,235,195,168,208,138,147,ok
white (107).jpg,White,105,75,58,88,138,143,ok
white (108).jpg,White,220,197,182,207,134,138,ok
white (109).jpg,White,226,197,179,208,135,141,ok
white (11).jpg,White,205,181,173,193,135,135,ok
white (110).jpg,White,227,186,162,200,139,146,ok
white (111).jpg,White,225,181,178,198,143,136,ok
white (112).jpg,White,233,182,166,200,144,143,ok
white (113).jpg,White,225,190,163,202,137,146,ok
white (114).jpg,White,228,192,169,205,137,144,ok
white (115).jpg,White,231,185,171,201,142,141,ok
white (116).jpg,White,227,186,157,200,139,148,ok
white (117).jpg,White,235,195,178,209,140,142,ok
white (118).jpg,White,226,192,172,204,137,143,ok
