filename,label,R,G,B,L,A,B_lab,status
black (1).jpg,Black,65.0,82.0,129.0,90.0,136.0,99.0,ok
black (10).jpg,Black,47.0,65.0,83.0,68.0,126.0,115.0,ok
black (100).jpg,Black,133.0,150.0,206.0,160.0,136.0,97.0,ok
black (101).jpg,Black,154.0,175.0,219.0,182.0,131.0,103.0,ok
black (102).jpg,Black,132.0,148.0,187.0,157.0,131.0,106.0,ok
black (103).jpg,Black,49.0,61.0,95.0,67.0,133.0,106.0,ok
black (104).jpg,Black,57.0,80.0,131.0,88.0,136.0,97.0,ok
black (105).jpg,Black,60.0,73.0,96.0,79.0,129.0,113.0,ok
black (106).jpg,Black,58.0,74.0,101.0,80.0,129.0,110.0,ok
black (107).jpg,Black,51.0,67.0,110.0,74.0,135.0,101.0,ok
black (108).jpg,Black,126.0,160.0,225.0,168.0,133.0,91.0,ok
black (109).jpg,Black,42.0,50.0,73.0,54.0,132.0,112.0,ok
black (11).jpg,Black,62.0,70.0,91.0,76.0,130.0,115.0,ok
black (110).jpg,Black,114.0,125.0,160.0,135.0,132.0,108.0,ok
black (111).jpg,Black,47.0,58.0,75.0,61.0,129.0,116.0,ok
black (112).jpg,Black,48.0,56.0,75.0,60.0,130.0,115.0,ok
black (113).jpg,Black,123.0,148.0,197.0,156.0,131.0,100.0,ok
black (114).jpg,Black,52.0,60.0,101.0,68.0,137.0,103.0,ok
black (115).jpg,Black,68.0,89.0,114.0,95.0,127.0,111.0,ok
black (116).jpg,Black,52.0,83.0,119.0,88.0,128.0,104.0,ok
black (117).jpg,Black,119.0,138.0,182.0,147.0,132.0,103.0,ok
black (118).jpg,Black,48.0,69.0,112.0,75.0,134.0,101.0,ok
black (119).jpg,Black,62.0,70.0,91.0,76.0,130.0,115.0,ok
black (12).jpg,Black,104.0,126.0,182.0,136.0,135.0,96.0,ok
black (120).jpg,Black,64.0,89.0,141.0,97.0,135.0,96.0,ok
black (121).jpg,Black,54.0,60.0,97.0,67.0,136.0,105.0,ok
black (122).jpg,Black,96.0,99.0,118.0,108.0,131.0,117.0,ok
black (123).jpg,Black,58.0,73.0,103.0,79.0,130.0,109.0,ok
black (124).jpg,Black,56.0,76.0,113.0,82.0,131.0,104.0,ok
black (125).jpg,Black,127.0,167.0,222.0,172.0,129.0,96.0,ok
black (126).jpg,Black,139.0,154.0,208.0,164.0,136.0,99.0,ok
black (127).jpg,Black,61.0,84.0,113.0,89.0,128.0,109.0,ok
black (128).jpg,Black,51.0,65.0,96.0,71.0,132.0,108.0,ok
black (129).jpg,Black,61.0,79.0,116.0,86.0,132.0,105.0,ok
black (13).jpg,Black,43.0,59.0,80.0,62.0,128.0,113.0,ok
