filename,label,R,G,B,L,A,B_lab,status
black (1).jpg,Black,130,82,64,102,146,147,ok
black (10).jpg,Black,63,45,27,52,133,143,ok
black (100).jpg,Black,207,147,126,169,148,148,ok
black (101).jpg,Black,82,66,56,75,133,137,ok
black (102).jpg,Black,100,64,50,79,142,143,ok
black (103).jpg,Black,96,74,60,85,135,140,ok
black (104).jpg,Black,102,75,59,88,137,142,ok
black (105).jpg,Black,98,57,44,73,145,144,ok
black (106).jpg,Black,164,127,116,144,141,139,ok
black (107).jpg,Black,75,58,48,66,134,137,ok
black (108).jpg,Black,95,54,49,70,145,139,ok
black (109).jpg,Black,117,92,70,105,135,145,ok
black (11).jpg,Black,92,72,64,83,135,136,ok
black (110).jpg,Black,196,145,105,164,142,157,ok
black (111).jpg,Black,97,58,41,73,143,146,ok
black (112).jpg,Black,92,72,64,83,135,136,ok
black (113).jpg,Black,147,92,65,114,148,153,ok
black (114).jpg,Black,102,64,59,80,144,138,ok
black (115).jpg,Black,117,76,51,93,143,150,ok
black (116).jpg,Black,206,146,126,168,148,148,ok
black (117).jpg,Black,90,56,39,69,141,145,ok
black (118).jpg,Black,122,82,63,99,142,146,ok
black (119).jpg,Black,223,159,130,181,148,153,ok
black (12).jpg,Black,119,80,68,97,143,142,ok
black (120).jpg,Black,92,49,37,65,146,144,ok
black (121).jpg,Black,71,50,47,59,137,134,ok
black (122).jpg,Black,78,57,42,66,135,141,ok
black (123).jpg,Black,95,68,49,80,137,144,ok
black (124).jpg,Black,108,78,58,91,138,145,ok
black (125).jpg,Black,123,70,53,91,149,148,ok
black (13).jpg,Black,78,57,42,66,135,141,ok
black (14).jpg,Black,108,78,58,91,138,145,ok
black (15).jpg,Black,185,137,120,156,144,144,ok
black (16).jpg,Black,115,66,58,86,148,142,ok
black (17).jpg,Black,94,65,52,78,139,141,ok
black (18).jpg,Black,90,56,39,69,141,145,ok
black (19).jpg,Black,188,134,101,154,145,154,ok
black (2).jpg,Black,94,70,55,82,136,141,ok
black (20).jpg,Black,228,170,135,189,145,154,ok
black (21).jpg,Black,87,55,41,68,141,143,ok
black (22).jpg,Black,100,58,46,75,145,143,ok
black (23).jpg,Black,90,68,57,79,136,138,ok
black (24).jpg,Black,117,68,37,87,146,155,ok
black (25).jpg,Black,104,64,57,81,145,140,ok
black (26).jpg,Black,117,75,56,92,143,147,ok
black (27).jpg,Black,78,53,42,63,137,140,ok
black (28).jpg,Black,102,64,59,80,144,138,ok
black (29).jpg,Black,197,137,113,159,148,150,ok
black (3).jpg,Black,101,61,48,77,144,144,ok
black (30).jpg,Black,100,63,50,78,143,143,ok
black (31).jpg,Black,117,76,51,93,143,150,ok
black (32).jpg,Black,100,51,29,70,148,152,ok
black (33).jpg,Black,206,146,126,168,148,148,ok
black (34).jpg,Black,180,132,112,151,144,146,ok
black (35).jpg,Black,93,61,56,75,142,137,ok
black (36).jpg,Black,115,74,60,91,144,144,ok
black (37).jpg,Black,92,55,40,69,143,144,ok
black (38).jpg,Black,123,77,56,96,145,149,ok
black (39).jpg,Black,123,78,54,96,144,150,ok
black (4).jpg,Black,75,58,48,66,134,137,ok
black (40).jpg,Black,84,62,62,73,137,132,ok
black (41).jpg,Black,203,142,117,164,148,151,ok
