filename,label,R_grabcut,G_grabcut,B_grabcut,L_grabcut,A_grabcut,B_lab_grabcut,status,Filename,Hex,R_gt,G_gt,B_gt,L_gt,A_gt,B_lab_gt,DeltaE
black (1).jpg,Black,113,63,46,83,148,148,ok,black (1).jpg,#8E472B,142,71,43,99,156,158,10.01
black (10).jpg,Black,232,189,160,203,139,148,ok,black (10).jpg,#B57E60,181,126,96,147,146,153,19.51
black (100).jpg,Black,228,184,153,199,140,150,ok,black (100).jpg,#8C4E29,140,78,41,102,151,161,38.74
black (101).jpg,Black,199,181,168,191,132,137,ok,black (101).jpg,#534035,83,64,53,74,134,138,52.33
black (102).jpg,Black,223,179,159,195,141,144,ok,black (102).jpg,#6D3820,109,56,32,76,149,153,52.19
black (103).jpg,Black,217,191,173,202,134,141,ok,black (103).jpg,#654B35,101,75,53,87,136,145,47.6
black (104).jpg,Black,223,184,152,198,137,150,ok,black (104).jpg,#58402D,88,64,45,75,136,144,53.59
black (105).jpg,Black,97,56,45,72,145,143,ok,black (105).jpg,#7D3F2B,125,63,43,87,153,152,10.5
black (106).jpg,Black,229,184,156,199,140,148,ok,black (106).jpg,#8C5336,140,83,54,105,149,155,37.2
black (107).jpg,Black,210,191,180,201,133,136,ok,black (107).jpg,#412F25,65,47,37,54,135,138,68.04
black (108).jpg,Black,230,179,150,196,143,150,ok,black (108).jpg,#A2603E,162,96,62,121,151,159,28.58
black (109).jpg,Black,218,188,161,199,135,146,ok,black (109).jpg,#7C5E44,124,94,68,108,136,148,35.67
black (11).jpg,Black,210,186,178,197,135,135,ok,black (11).jpg,#553E34,85,62,52,72,137,138,55.17
black (110).jpg,Black,230,182,161,199,142,145,ok,black (110).jpg,#9C5F4C,156,95,76,119,151,149,30.41
black (111).jpg,Black,234,189,159,204,140,149,ok,black (111).jpg,#653321,101,51,33,70,148,149,58.21
black (112).jpg,Black,210,186,178,197,135,135,ok,black (112).jpg,#4D3930,77,57,48,66,135,137,58.99
black (113).jpg,Black,229,180,145,196,141,153,ok,black (113).jpg,#96563B,150,86,59,111,152,155,33.4
black (114).jpg,Black,226,182,177,198,143,137,ok,black (114).jpg,#7A3D32,122,61,50,85,153,147,47.68
black (115).jpg,Black,232,180,146,197,142,153,ok,black (115).jpg,#643E22,100,62,34,77,142,152,52.1
