filename,label,R_grabcut,G_grabcut,B_grabcut,L_grabcut,A_grabcut,B_lab_grabcut,status,Filename,Hex,R_gt,G_gt,B_gt,L_gt,A_gt,B_lab_gt,DeltaE
black (1).jpg,Black,129,81,65,101,146,146,ok,black (1).jpg,#8E472B,142,71,43,99,156,158,1.91
black (10).jpg,Black,69,51,33,58,133,143,ok,black (10).jpg,#3B2819,59,40,25,46,135,141,11.89
black (100).jpg,Black,115,65,47,85,147,148,ok,black (100).jpg,#713316,113,51,22,75,154,159,7.07
black (101).jpg,Black,216,172,152,188,141,144,ok,black (101).jpg,#AA6043,170,96,67,124,155,157,24.79
black (102).jpg,Black,184,146,131,162,140,141,ok,black (102).jpg,#463430,70,52,48,60,135,134,53.34
black (103).jpg,Black,95,61,49,75,141,141,ok,black (103).jpg,#6D3820,109,56,32,76,149,153,1.79
black (104).jpg,Black,194,134,105,156,148,153,ok,black (104).jpg,#8A3E1C,138,62,28,91,158,163,30.97
black (105).jpg,Black,91,71,58,82,134,139,ok,black (105).jpg,#654B35,101,75,53,87,136,145,3.48
black (106).jpg,Black,99,73,57,85,137,142,ok,black (106).jpg,#58402D,88,64,45,75,136,144,6.96
black (107).jpg,Black,93,52,41,68,145,143,ok,black (107).jpg,#7D3F2B,125,63,43,87,153,152,13.55
black (108).jpg,Black,216,153,120,175,148,155,ok,black (108).jpg,#965939,150,89,57,113,150,157,25.74
black (109).jpg,Black,75,52,42,61,137,139,ok,black (109).jpg,#291F1E,41,31,30,33,133,130,27.36
black (11).jpg,Black,89,70,62,80,135,136,ok,black (11).jpg,#553E34,85,62,52,72,137,138,5.79
black (110).jpg,Black,97,71,64,84,138,137,ok,black (110).jpg,#7F5A48,127,90,72,106,141,144,13.21
black (111).jpg,Black,74,57,47,65,134,137,ok,black (111).jpg,#412F25,65,47,37,54,135,138,9.74
black (112).jpg,Black,73,53,44,62,135,137,ok,black (112).jpg,#311F1B,49,31,27,36,136,135,25.93
black (113).jpg,Black,200,152,127,170,142,148,ok,black (113).jpg,#7C5842,124,88,66,104,140,147,28.66
black (114).jpg,Black,95,56,50,72,145,139,ok,black (114).jpg,#472A22,71,42,34,52,141,139,17.14
black (115).jpg,Black,111,87,67,99,135,143,ok,black (115).jpg,#7C5E44,124,94,68,108,136,148,5.1
black (116).jpg,Black,113,78,47,93,139,152,ok,black (116).jpg,#634628,99,70,40,82,137,151,7.07
black (117).jpg,Black,183,140,121,158,142,144,ok,black (117).jpg,#895E47,137,94,71,112,143,148,20.25
black (118).jpg,Black,86,50,36,63,143,144,ok,black (118).jpg,#653321,101,51,33,70,148,149,5.69
black (119).jpg,Black,89,70,62,80,135,136,ok,black (119).jpg,#4D3930,77,57,48,66,135,137,10.46
black (12).jpg,Black,176,121,100,143,147,148,ok,black (12).jpg,#713D26,113,61,38,81,149,152,32.17
black (120).jpg,Black,138,87,63,107,146,151,ok,black (120).jpg,#96563B,150,86,59,111,152,155,2.28
black (121).jpg,Black,90,58,52,71,141,138,ok,black (121).jpg,#7A3D32,122,61,50,85,153,147,10.02
black (122).jpg,Black,68,53,51,61,135,132,ok,black (122).jpg,#291F20,41,31,32,33,133,130,27.32
black (123).jpg,Black,187,144,122,161,141,146,ok,black (123).jpg,#5B3C2E,91,60,46,73,140,142,43.95
black (124).jpg,Black,110,72,50,88,141,148,ok,black (124).jpg,#643E22,100,62,34,77,142,152,7.45
black (125).jpg,Black,219,164,126,183,144,156,ok,black (125).jpg,#A16D4C,161,109,76,129,145,155,20.87
black (126).jpg,Black,113,64,46,83,147,148,ok,black (126).jpg,#703516,112,53,22,76,151,159,5.2
black (127).jpg,Black,95,68,49,80,137,144,ok,black (127).jpg,#3D2921,61,41,33,48,136,137,26.71
black (128).jpg,Black,87,56,40,68,140,144,ok,black (128).jpg,#5F3819,95,56,25,71,142,154,3.05
black (129).jpg,Black,108,73,57,88,141,144,ok,black (129).jpg,#8A563F,138,86,63,107,147,150,11.15
black (13).jpg,Black,78,58,43,67,135,141,ok,black (13).jpg,#4B351E,75,53,30,62,135,147,4.39
black (130).jpg,Black,213,151,121,173,148,153,ok,black (130).jpg,#AD6746,173,103,70,129,153,158,17.52
black (131).jpg,Black,90,50,39,65,145,143,ok,black (131).jpg,#4D1D11,77,29,17,46,150,147,17.87
black (132).jpg,Black,69,47,45,56,138,133,ok,black (132).jpg,#462E2C,70,46,44,55,139,134,0.95
black (133).jpg,Black,78,58,43,67,135,141,ok,black (133).jpg,#563C2C,86,60,44,71,137,143,3.14
black (134).jpg,Black,203,164,146,180,140,143,ok,black (134).jpg,#986443,152,100,67,121,145,155,23.62
black (135).jpg,Black,94,69,50,80,136,144,ok,black (135).jpg,#795032,121,80,50,97,142,152,10.85
black (136).jpg,Black,215,166,140,184,142,148,ok,black (136).jpg,#905938,144,89,56,111,147,156,29.68
black (137).jpg,Black,112,82,62,96,138,145,ok,black (137).jpg,#715138,113,81,56,95,138,148,0.93
black (138).jpg,Black,110,64,49,82,146,146,ok,black (138).jpg,#6E2E24,110,46,36,71,156,148,8.14
black (139).jpg,Black,138,87,63,107,146,151,ok,black (139).jpg,#73402D,115,64,45,84,148,149,13.73
black (14).jpg,Black,112,82,62,96,138,145,ok,black (14).jpg,#725139,114,81,57,95,139,148,0.79
black (140).jpg,Black,104,77,67,90,138,138,ok,black (140).jpg,#603B2C,96,59,44,74,143,144,10.88
black (141).jpg,Black,69,51,45,59,135,135,ok,black (141).jpg,#4F2F2A,79,47,42,59,142,138,1.18
black (142).jpg,Black,205,169,141,183,137,147,ok,black (142).jpg,#482520,72,37,32,49,144,139,67.5
black (15).jpg,Black,205,169,141,183,137,147,ok,black (15).jpg,#714F43,113,79,67,94,141,141,38.34
black (16).jpg,Black,178,139,133,156,142,137,ok,black (16).jpg,#623228,98,50,40,69,148,144,44.97
black (17).jpg,Black,87,60,49,72,138,139,ok,black (17).jpg,#7A4B3B,122,75,59,94,146,146,14.8
black (18).jpg,Black,87,56,40,68,140,144,ok,black (18).jpg,#603920,96,57,32,72,143,151,3.29
black (19).jpg,Black,216,159,124,179,145,155,ok,black (19).jpg,#964A1E,150,74,30,103,157,167,32.2
black (2).jpg,Black,216,153,120,175,148,155,ok,black (2).jpg,#8F5333,143,83,51,106,150,157,29.29
black (20).jpg,Black,226,169,136,188,145,153,ok,black (20).jpg,#C87A4A,200,122,74,150,154,167,13.77
black (21).jpg,Black,89,55,42,69,141,143,ok,black (21).jpg,#57291C,87,41,28,58,148,146,9.3
black (22).jpg,Black,214,180,164,194,138,141,ok,black (22).jpg,#9F6B56,159,107,86,128,146,148,24.8
black (23).jpg,Black,88,67,57,78,135,138,ok,black (23).jpg,#703619,112,54,25,76,152,157,2.89
black (24).jpg,Black,195,135,101,157,147,156,ok,black (24).jpg,#743431,116,52,49,77,156,143,40.25
black (25).jpg,Black,104,64,56,81,144,140,ok,black (25).jpg,#7D4430,125,68,48,90,150,151,6.11
black (26).jpg,Black,176,121,100,143,147,148,ok,black (26).jpg,#6A452B,106,69,43,84,141,150,30.31
black (27).jpg,Black,93,66,54,78,138,140,ok,black (27).jpg,#9A5755,154,87,85,114,155,141,21.68
black (28).jpg,Black,90,58,52,71,141,138,ok,black (28).jpg,#473B3C,71,59,60,67,133,130,3.34
black (29).jpg,Black,68,53,51,61,135,132,ok,black (29).jpg,#7A4C33,122,76,51,94,145,151,23.63
black (3).jpg,Black,228,177,151,194,143,148,ok,black (3).jpg,#9D6544,157,101,68,123,147,156,27.06
black (30).jpg,Black,187,144,122,161,141,146,ok,black (30).jpg,#965130,150,81,48,108,154,160,23.46
black (31).jpg,Black,110,72,50,88,141,148,ok,black (31).jpg,#90512F,144,81,47,105,151,159,10.13
black (32).jpg,Black,219,164,126,183,144,156,ok,black (32).jpg,#8A411F,138,65,31,93,157,162,38.88
black (33).jpg,Black,113,64,46,83,147,148,ok,black (33).jpg,#624125,98,65,37,78,139,151,4.3
black (34).jpg,Black,95,68,49,80,137,144,ok,black (34).jpg,#AE6B47,174,107,71,132,151,159,28.37
black (35).jpg,Black,218,160,127,180,145,154,ok,black (35).jpg,#774637,119,70,55,90,147,146,39.66
black (36).jpg,Black,111,74,61,90,142,142,ok,black (36).jpg,#813A1C,129,58,28,85,157,160,3.95
black (37).jpg,Black,188,133,107,154,146,150,ok,black (37).jpg,#633836,99,56,54,74,146,138,40.97
black (38).jpg,Black,192,149,139,167,143,139,ok,black (38).jpg,#743C23,116,60,35,82,150,154,40.25
black (39).jpg,Black,102,64,46,80,142,146,ok,black (39).jpg,#874435,135,68,53,95,155,150,9.9
black (4).jpg,Black,74,57,47,65,134,137,ok,black (4).jpg,#3F2D23,63,45,35,52,134,138,11.68
black (40).jpg,Black,224,162,133,183,147,152,ok,black (40).jpg,#9D523C,157,82,60,111,157,155,29.4
black (41).jpg,Black,207,147,120,169,147,151,ok,black (41).jpg,#5F4232,95,66,50,79,138,143,42.71
black (42).jpg,Black,89,61,53,73,139,138,ok,black (42).jpg,#803309,128,51,9,81,159,167,6.86
black (43).jpg,Black,215,158,118,178,144,157,ok,black (43).jpg,#924834,146,72,52,101,157,154,33.1
