filename,label,R_grabcut,G_grabcut,B_grabcut,L_grabcut,A_grabcut,B_lab_grabcut,status,Filename,Hex,R_gt,G_gt,B_gt,L_gt,A_gt,B_lab_gt,DeltaE
black (1).jpg,Black,133,83,65,103,147,147,ok,black (1).jpg,#8E472B,142,71,43,99,156,158,2.66
black (10).jpg,Black,64,46,28,53,134,143,ok,black (10).jpg,#3B2819,59,40,25,46,135,141,7.03
black (100).jpg,Black,118,75,50,92,143,150,ok,black (100).jpg,#8C4E29,140,78,41,102,151,161,6.04
black (101).jpg,Black,82,66,56,75,133,137,ok,black (101).jpg,#534035,83,64,53,74,134,138,0.75
black (102).jpg,Black,100,64,50,79,142,143,ok,black (102).jpg,#6D3820,109,56,32,76,149,153,2.51
black (103).jpg,Black,97,75,61,86,135,140,ok,black (103).jpg,#654B35,101,75,53,87,136,145,1.2
black (104).jpg,Black,102,76,59,88,137,142,ok,black (104).jpg,#58402D,88,64,45,75,136,144,8.89
black (105).jpg,Black,99,57,44,73,146,144,ok,black (105).jpg,#7D3F2B,125,63,43,87,153,152,9.74
black (106).jpg,Black,164,127,116,144,141,139,ok,black (106).jpg,#7F5A48,127,90,72,106,141,144,17.94
black (107).jpg,Black,76,58,48,66,135,137,ok,black (107).jpg,#412F25,65,47,37,54,135,138,10.56
black (108).jpg,Black,95,54,49,70,145,139,ok,black (108).jpg,#472A22,71,42,34,52,141,139,15.64
black (109).jpg,Black,118,92,70,105,135,145,ok,black (109).jpg,#7C5E44,124,94,68,108,136,148,1.71
black (11).jpg,Black,94,74,65,85,135,136,ok,black (11).jpg,#553E34,85,62,52,72,137,138,9.14
black (110).jpg,Black,193,139,118,160,146,147,ok,black (110).jpg,#9C5F4C,156,95,76,119,151,149,17.53
black (111).jpg,Black,100,60,43,76,144,146,ok,black (111).jpg,#653321,101,51,33,70,148,149,4.51
black (112).jpg,Black,94,74,65,85,135,136,ok,black (112).jpg,#4D3930,77,57,48,66,135,137,13.8
black (113).jpg,Black,150,93,66,115,148,153,ok,black (113).jpg,#96563B,150,86,59,111,152,155,2.15
black (114).jpg,Black,104,65,59,82,144,139,ok,black (114).jpg,#7A3D32,122,61,50,85,153,147,2.32
black (115).jpg,Black,117,76,51,93,143,150,ok,black (115).jpg,#643E22,100,62,34,77,142,152,10.54
black (116).jpg,Black,128,89,70,106,142,145,ok,black (116).jpg,#9C6D52,156,109,82,128,143,151,11.05
black (117).jpg,Black,91,57,40,70,141,145,ok,black (117).jpg,#5F3819,95,56,25,71,142,154,2.06
black (118).jpg,Black,125,84,65,101,143,146,ok,black (118).jpg,#8A563F,138,86,63,107,147,150,3.36
black (119).jpg,Black,113,75,57,91,142,145,ok,black (119).jpg,#8A5335,138,83,53,104,148,155,7.73
black (12).jpg,Black,212,154,131,175,147,149,ok,black (12).jpg,##AA684E,170,104,64,129,151,161,18.3
black (120).jpg,Black,93,50,37,66,146,145,ok,black (120).jpg,#4D1D11,77,29,17,46,150,147,18.66
black (121).jpg,Black,72,51,48,60,137,134,ok,black (121).jpg,#462E2C,70,46,44,55,139,134,4.59
black (122).jpg,Black,79,58,43,67,135,141,ok,black (122).jpg,#563C2C,86,60,44,71,137,143,3.14
black (123).jpg,Black,97,70,51,82,137,144,ok,black (123).jpg,#795032,121,80,50,97,142,152,9.5
black (124).jpg,Black,114,82,62,96,139,145,ok,black (124).jpg,#715138,113,81,56,95,138,148,1.11
black (125).jpg,Black,125,71,54,93,149,148,ok,black (125).jpg,#6E2E24,110,46,36,71,156,148,15.0
black (13).jpg,Black,79,58,43,67,135,141,ok,black (13).jpg,#4B351E,75,53,30,62,135,147,4.39
black (14).jpg,Black,114,82,62,96,139,145,ok,black (14).jpg,#725139,114,81,57,95,139,148,0.93
black (15).jpg,Black,226,151,121,177,153,155,ok,black (15).jpg,#BD6546,189,101,70,134,161,161,16.69
black (16).jpg,Black,117,68,59,88,148,143,ok,black (16).jpg,#733D2B,115,61,43,82,150,150,4.15
black (17).jpg,Black,94,65,52,78,139,141,ok,black (17).jpg,#7A4B3B,122,75,59,94,146,146,10.46
black (18).jpg,Black,91,57,40,70,141,145,ok,black (18).jpg,#603920,96,57,32,72,143,151,1.85
black (19).jpg,Black,189,135,101,155,145,154,ok,black (19).jpg,#955937,149,89,55,112,149,158,19.11
black (2).jpg,Black,93,70,54,81,135,141,ok,black (2).jpg,#704932,112,73,50,89,142,148,5.35
black (20).jpg,Black,229,170,135,190,145,155,ok,black (20).jpg,#C87A4A,200,122,74,150,154,167,14.37
black (21).jpg,Black,88,55,41,68,141,143,ok,black (21).jpg,#57291C,87,41,28,58,148,146,8.52
black (22).jpg,Black,101,58,46,75,146,143,ok,black (22).jpg,#834735,131,71,53,95,152,150,13.18
black (23).jpg,Black,91,69,58,80,136,138,ok,black (23).jpg,#703619,112,54,25,76,152,157,3.76
black (24).jpg,Black,118,69,38,88,146,155,ok,black (24).jpg,#9D6738,157,103,56,124,145,163,19.7
black (25).jpg,Black,105,64,57,81,145,140,ok,black (25).jpg,#7D4430,125,68,48,90,150,151,6.15
black (26).jpg,Black,119,76,57,94,144,147,ok,black (26).jpg,#9E6048,158,96,72,120,151,152,14.07
black (27).jpg,Black,219,141,97,168,153,164,ok,black (27).jpg,#AD5F3B,173,95,59,124,157,162,18.09
black (28).jpg,Black,104,65,59,82,144,139,ok,black (28).jpg,#473B3C,71,59,60,67,133,130,11.12
black (29).jpg,Black,123,82,58,99,142,149,ok,black (29).jpg,#A7694A,167,105,74,129,149,156,15.35
black (3).jpg,Black,101,62,48,78,143,144,ok,black (3).jpg,#534035,83,64,53,74,134,138,3.17
black (30).jpg,Black,102,64,51,80,143,143,ok,black (30).jpg,#613729,97,55,41,71,145,145,6.54
black (31).jpg,Black,117,76,51,93,143,150,ok,black (31).jpg,#90512F,144,81,47,105,151,159,7.02
black (32).jpg,Black,102,52,29,71,149,152,ok,black (32).jpg,#8E4723,142,71,35,98,155,162,17.89
black (33).jpg,Black,219,156,118,178,147,157,ok,black (33).jpg,#A1623D,161,98,61,122,150,160,22.42
black (34).jpg,Black,121,78,60,96,144,146,ok,black (34).jpg,#7C483A,124,72,58,93,149,146,2.16
black (35).jpg,Black,93,62,56,75,141,137,ok,black (35).jpg,#582814,88,40,20,57,148,151,14.78
black (36).jpg,Black,118,76,62,94,144,144,ok,black (36).jpg,#813A1C,129,58,28,85,157,160,6.02
black (37).jpg,Black,121,89,71,104,138,143,ok,black (37).jpg,#A0725A,160,114,90,133,143,148,14.34
black (38).jpg,Black,124,78,56,97,145,149,ok,black (38).jpg,#6D5356,109,83,86,97,139,130,3.55
black (39).jpg,Black,127,80,56,99,145,150,ok,black (39).jpg,#874435,135,68,53,95,155,150,3.32
black (4).jpg,Black,76,58,48,66,135,137,ok,black (4).jpg,#3F2D23,63,45,35,52,134,138,12.5
black (40).jpg,Black,83,62,61,72,137,132,ok,black (40).jpg,#83472D,131,71,45,95,151,155,15.71
black (41).jpg,Black,203,142,117,164,148,151,ok,black (41).jpg,#A16B51,161,107,81,128,147,151,14.77
black (42).jpg,Black,95,67,59,80,139,138,ok,black (42).jpg,#803309,128,51,9,81,159,167,3.85
black (43).jpg,Black,122,73,54,93,147,148,ok,black (43).jpg,#995A42,153,90,66,115,151,153,12.19
black (44).jpg,Black,107,67,52,83,144,144,ok,black (44).jpg,#8F5844,143,88,68,110,148,149,15.95
black (45).jpg,Black,172,107,81,132,151,153,ok,black (45).jpg,#B56E4C,181,110,76,137,153,159,2.43
black (46).jpg,Black,180,138,109,155,140,150,ok,black (46).jpg,#87603F,135,96,63,112,140,153,19.12
black (47).jpg,Black,209,144,105,167,148,159,ok,black (47).jpg,#B36034,179,96,52,127,158,167,16.35
black (48).jpg,Black,142,84,66,107,150,149,ok,black (48).jpg,#9E6D4A,158,109,74,129,143,155,11.29
black (49).jpg,Black,218,154,131,177,149,150,ok,black (49).jpg,#BA6748,186,103,72,134,158,160,16.71
black (5).jpg,Black,217,154,112,176,147,159,ok,black (5).jpg,#BF703D,191,112,61,141,155,169,13.38
black (50).jpg,Black,128,72,53,94,150,150,ok,black (50).jpg,#9C4D32,156,77,50,108,159,159,8.03
black (51).jpg,Black,210,159,128,177,143,152,ok,black (51).jpg,#A96743,169,103,67,128,151,159,19.35
black (52).jpg,Black,190,132,102,154,147,153,ok,black (52).jpg,#9C6953,156,105,83,126,146,149,11.95
black (53).jpg,Black,208,145,113,168,148,155,ok,black (53).jpg,#B77B57,183,123,87,145,147,157,8.88
black (54).jpg,Black,116,76,63,93,143,143,ok,black (54).jpg,#784230,120,66,48,87,149,149,3.85
black (55).jpg,Black,204,143,110,165,147,155,ok,black (55).jpg,#B36D3C,179,109,60,135,151,166,12.13
black (56).jpg,Black,219,170,159,188,144,141,ok,black (56).jpg,#B96F64,185,111,100,139,156,147,18.23
black (57).jpg,Black,131,84,64,103,145,148,ok,black (57).jpg,#B26F54,178,111,84,136,152,154,16.2
black (58).jpg,Black,200,160,143,176,140,143,ok,black (58).jpg,#A06A51,160,106,81,128,147,151,19.01
black (59).jpg,Black,98,65,53,79,141,141,ok,black (59).jpg,#874830,135,72,48,97,152,154,11.62
