filename,recommend_1_brand,recommend_1_product,recommend_1_hex,recommend_1_deltaE,recommend_2_brand,recommend_2_product,recommend_2_hex,recommend_2_deltaE,recommend_3_brand,recommend_3_product,recommend_3_hex,recommend_3_deltaE
black (1).jpg,Make Up For Ever,Ultra HD,8e5642,4.8695071619210095,Maybelline,Fit Me,84583f,5.54184987165838,Make Up For Ever,Ultra HD,784a42,6.167017107159668
black (10).jpg,Maybelline,Fit Me,5c4433,8.835298523536146,Maybelline,Fit Me,5e4638,9.92786482583239,Maybelline,Fit Me,3f2018,11.205467415507485
black (100).jpg,Maybelline,Fit Me,643c27,5.299896225399134,MAC,Studio Fix,724a32,5.365528864893004,L'Oréal,True Match,693720,5.9790383842219965
black (101).jpg,Maybelline,Fit Me,5e4638,5.82068724464732,Maybelline,Fit Me,5c4433,6.157954205740735,Maybelline,Fit Me,6b5041,8.984453238789772
black (102).jpg,Make Up For Ever,Ultra HD,644136,1.878323720768068,Maybelline,Fit Me,5c4433,5.341170283748684,Maybelline,Fit Me,5e4638,5.630994583552714
black (103).jpg,Maybelline,Fit Me,5e4638,2.8329489935401235,Maybelline,Fit Me,5c4433,3.7875585804050598,Maybelline,Fit Me,6b5041,5.267409230352245
black (104).jpg,Maybelline,Fit Me,5e4638,1.9413654988177769,Maybelline,Fit Me,5c4433,2.53552755851716,Maybelline,Fit Me,6b5041,2.851122585929972
black (105).jpg,Make Up For Ever,Ultra HD,644136,5.634616224730837,Maybelline,Fit Me,5e3a23,6.838779130809826,Maybelline,Fit Me,643c27,7.147649963449524
black (106).jpg,Maybelline,Fit Me,5e4638,4.569857765839107,Maybelline,Fit Me,6b5041,5.1345496394523265,Maybelline,Fit Me,5c4433,5.723949685313454
black (107).jpg,Maybelline,Fit Me,5c4433,7.704550603377203,Maybelline,Fit Me,5e4638,7.898107368224366,Make Up For Ever,Ultra HD,644136,10.505241548865024
black (108).jpg,Make Up For Ever,Ultra HD,644136,4.540660744869629,Make Up For Ever,Ultra HD,784a42,8.075741452027797,Maybelline,Fit Me,5c4433,9.880161941992652
black (109).jpg,Maybelline,Fit Me,735642,2.243301138946798,Maybelline,Fit Me,6b5041,3.9940455680925826,Maybelline,Fit Me,7d5c4d,5.206956884784048
black (11).jpg,Maybelline,Fit Me,5e4638,5.137791354268875,Maybelline,Fit Me,5c4433,6.0940052510643605,Maybelline,Fit Me,6b5041,7.101894113544639
black (110).jpg,MAC,Studio Fix,724a32,4.490089085975912,Maybelline,Fit Me,7d5631,5.42778960535502,Maybelline,Fit Me,7f5c3b,5.707968114837365
black (111).jpg,Maybelline,Fit Me,5e3a23,6.068286413807443,Make Up For Ever,Ultra HD,644136,7.040177554579145,Maybelline,Fit Me,643c27,7.279017790883602
black (112).jpg,Maybelline,Fit Me,5e4638,5.137791354268875,Maybelline,Fit Me,5c4433,6.0940052510643605,Maybelline,Fit Me,6b5041,7.101894113544639
black (113).jpg,Maybelline,Fit Me,84583f,3.1625306322627136,Make Up For Ever,Ultra HD,8e5642,3.60577314871582,Make Up For Ever,Ultra HD,9c624a,5.865287716727969
black (114).jpg,Make Up For Ever,Ultra HD,644136,4.470525696156997,Maybelline,Fit Me,5c4433,7.140420155705125,Maybelline,Fit Me,5e4638,7.162792751434317
black (115).jpg,MAC,Studio Fix,724a32,1.4966963619919713,Maybelline,Fit Me,643c27,5.033895112137318,Maybelline,Fit Me,5e3a23,6.661839085417778
