filename,recommend_1_brand,recommend_1_product,recommend_1_hex,recommend_1_deltaE,recommend_2_brand,recommend_2_product,recommend_2_hex,recommend_2_deltaE,recommend_3_brand,recommend_3_product,recommend_3_hex,recommend_3_deltaE
black (1).jpg,Make Up For Ever,Ultra HD,8e5642,3.25,Maybelline,Fit Me,84583f,3.25,Make Up For Ever,Ultra HD,784a42,3.25
black (10).jpg,Make Up For Ever,Ultra HD,c99980,1.1,Maybelline,Fit Me,c7967d,1.1,Make Up For Ever,Ultra HD,c7977b,1.1
black (100).jpg,MAC,Studio Fix,724a32,1.78,L'Oréal,Infalliable,754728,1.78,Maybelline,Fit Me,84583f,1.78
black (101).jpg,Maybelline,Fit Me,5e4638,5.63,Maybelline,Fit Me,5c4433,5.63,Maybelline,Fit Me,6b5041,5.63
black (102).jpg,Make Up For Ever,Ultra HD,644136,1.0,Maybelline,Fit Me,5c4433,1.0,Maybelline,Fit Me,5e4638,1.0
black (103).jpg,Maybelline,Fit Me,5e4638,2.23,Maybelline,Fit Me,6b5041,2.23,Maybelline,Fit Me,5c4433,2.23
black (104).jpg,Maybelline,Fit Me,6b5041,1.79,Maybelline,Fit Me,5e4638,1.79,Maybelline,Fit Me,5c4433,1.79
black (105).jpg,Make Up For Ever,Ultra HD,644136,5.53,Maybelline,Fit Me,643c27,5.53,Maybelline,Fit Me,5e3a23,5.53
black (106).jpg,Maybelline,Fit Me,643c27,1.97,Maybelline,Fit Me,5e3a23,1.97,MAC,Studio Fix,724a32,1.97
black (107).jpg,Maybelline,Fit Me,5c4433,7.23,Maybelline,Fit Me,5e4638,7.23,Make Up For Ever,Ultra HD,644136,7.23
black (108).jpg,Make Up For Ever,Ultra HD,c7977b,4.01,Make Up For Ever,Ultra HD,d19578,4.01,Maybelline,Fit Me,c7967d,4.01
black (109).jpg,Maybelline,Fit Me,735642,3.12,Maybelline,Fit Me,7d5c4d,3.12,Maybelline,Fit Me,6b5041,3.12
black (11).jpg,Maybelline,Fit Me,5e4638,5.27,Maybelline,Fit Me,6b5041,5.27,Maybelline,Fit Me,5c4433,5.27
black (110).jpg,Make Up For Ever,Ultra HD,be8470,3.54,Maybelline,Fit Me,c7967d,3.54,Make Up For Ever,Ultra HD,b68069,3.54
black (111).jpg,Maybelline,Fit Me,643c27,3.17,Maybelline,Fit Me,5e3a23,3.17,Make Up For Ever,Ultra HD,644136,3.17
black (112).jpg,Maybelline,Fit Me,5e4638,5.27,Maybelline,Fit Me,6b5041,5.27,Maybelline,Fit Me,5c4433,5.27
black (113).jpg,Make Up For Ever,Ultra HD,9c624a,2.93,Make Up For Ever,Ultra HD,8e5642,2.93,Maybelline,Fit Me,84583f,2.93
black (114).jpg,Make Up For Ever,Ultra HD,644136,3.06,Make Up For Ever,Ultra HD,784a42,3.06,Maybelline,Fit Me,6b5041,3.06
black (115).jpg,MAC,Studio Fix,724a32,2.04,L'Oréal,Infalliable,754728,2.04,Maybelline,Fit Me,84583f,2.04
black (116).jpg,Maybelline,Fit Me,7d5c4d,4.26,Maybelline,Fit Me,84583f,4.26,Maybelline,Fit Me,735642,4.26
black (117).jpg,Maybelline,Fit Me,5e3a23,4.16,Maybelline,Fit Me,643c27,4.16,Make Up For Ever,Ultra HD,644136,4.16
black (118).jpg,Maybelline,Fit Me,84583f,4.66,MAC,Studio Fix,724a32,4.66,Maybelline,Fit Me,7d5c4d,4.66
black (119).jpg,MAC,Studio Fix,724a32,4.06,Make Up For Ever,Ultra HD,784a42,4.06,Maybelline,Fit Me,735642,4.06
black (12).jpg,Make Up For Ever,Ultra HD,d69b81,1.07,Make Up For Ever,Ultra HD,d59682,1.07,Make Up For Ever,Ultra HD,d79e89,1.07
black (120).jpg,Maybelline,Fit Me,5e3a23,6.04,Maybelline,Fit Me,643c27,6.04,Make Up For Ever,Ultra HD,644136,6.04
