filename,label,R_grabcut,G_grabcut,B_grabcut,L_grabcut,A_grabcut,B_lab_grabcut,status,Filename,Hex,R_gt,G_gt,B_gt,L_gt,A_gt,B_lab_gt,DeltaE
black (1).jpg,Black,139,87,67,108,147,148,ok,black (1).jpg,#8E472B,142,71,43,99,156,158,5.16
black (10).jpg,Black,67,48,31,55,135,142,ok,black (10).jpg,#3B2819,59,40,25,46,135,141,9.0
black (100).jpg,Black,134,76,53,99,150,152,ok,black (100).jpg,#713316,113,51,22,75,154,159,15.5
black (101).jpg,Black,82,65,55,74,134,137,ok,black (101).jpg,#534035,83,64,53,74,134,138,0.25
black (102).jpg,Black,100,64,50,79,142,143,ok,black (102).jpg,#6D3820,109,56,32,76,149,153,2.51
black (103).jpg,Black,104,79,63,91,136,142,ok,black (103).jpg,#654B35,101,75,53,87,136,145,2.63
black (104).jpg,Black,104,77,59,89,137,143,ok,black (104).jpg,#58402D,88,64,45,75,136,144,9.5
black (105).jpg,Black,108,65,49,82,145,146,ok,black (105).jpg,#7D3F2B,125,63,43,87,153,152,3.47
black (106).jpg,Black,172,132,120,150,141,140,ok,black (106).jpg,#7F5A48,127,90,72,106,141,144,20.32
black (107).jpg,Black,76,58,48,66,135,137,ok,black (107).jpg,#412F25,65,47,37,54,135,138,10.56
black (108).jpg,Black,97,56,50,73,145,140,ok,black (108).jpg,#472A22,71,42,34,52,141,139,17.87
black (109).jpg,Black,121,97,75,110,134,144,ok,black (109).jpg,#7C5E44,124,94,68,108,136,148,1.22
black (11).jpg,Black,106,83,74,95,136,137,ok,black (11).jpg,#553E34,85,62,52,72,137,138,15.35
black (110).jpg,Black,123,83,48,99,141,155,ok,black (110).jpg,#634628,99,70,40,82,137,151,10.61
black (111).jpg,Black,100,59,41,75,144,147,ok,black (111).jpg,#653321,101,51,33,70,148,149,3.81
black (112).jpg,Black,106,83,74,95,136,137,ok,black (112).jpg,#4D3930,77,57,48,66,135,137,19.96
black (113).jpg,Black,148,94,68,115,147,152,ok,black (113).jpg,#96563B,150,86,59,111,152,155,2.18
black (114).jpg,Black,103,66,61,82,143,138,ok,black (114).jpg,#7A3D32,122,61,50,85,153,147,2.4
black (115).jpg,Black,114,72,48,89,143,150,ok,black (115).jpg,#643E22,100,62,34,77,142,152,8.08
black (116).jpg,Black,135,77,53,100,150,152,ok,black (116).jpg,#703516,112,53,22,76,151,159,15.39
black (117).jpg,Black,96,60,41,74,142,146,ok,black (117).jpg,#5F3819,95,56,25,71,142,154,2.93
black (118).jpg,Black,127,87,68,104,142,146,ok,black (118).jpg,#8A563F,138,86,63,107,147,150,1.77
black (119).jpg,Black,230,163,134,186,149,153,ok,black (119).jpg,#AD6746,173,103,70,129,153,158,21.84
black (12).jpg,Black,128,83,69,102,145,144,ok,black (12).jpg,#4F2D21,79,45,33,58,142,142,30.45
black (120).jpg,Black,92,48,36,65,147,144,ok,black (120).jpg,#4D1D11,77,29,17,46,150,147,17.86
black (121).jpg,Black,74,51,49,61,138,133,ok,black (121).jpg,#462E2C,70,46,44,55,139,134,5.43
black (122).jpg,Black,78,57,41,66,135,142,ok,black (122).jpg,#563C2C,86,60,44,71,137,143,3.95
black (123).jpg,Black,105,75,55,88,138,145,ok,black (123).jpg,#795032,121,80,50,97,142,152,5.6
black (124).jpg,Black,125,91,68,106,139,147,ok,black (124).jpg,#715138,113,81,56,95,138,148,6.29
black (125).jpg,Black,126,73,57,94,149,147,ok,black (125).jpg,#6E2E24,110,46,36,71,156,148,15.57
black (13).jpg,Black,78,57,41,66,135,142,ok,black (13).jpg,#4B351E,75,53,30,62,135,147,3.54
black (14).jpg,Black,125,91,68,106,139,147,ok,black (14).jpg,#725139,114,81,57,95,139,148,6.27
black (15).jpg,Black,186,136,118,156,145,145,ok,black (15).jpg,#865747,134,87,71,106,146,145,22.59
black (16).jpg,Black,122,70,61,91,149,143,ok,black (16).jpg,#733D2B,115,61,43,82,150,150,6.01
black (17).jpg,Black,96,66,52,79,139,142,ok,black (17).jpg,#7A4B3B,122,75,59,94,146,146,9.77
black (18).jpg,Black,96,60,41,74,142,146,ok,black (18).jpg,#603920,96,57,32,72,143,151,1.79
black (19).jpg,Black,190,135,101,156,145,155,ok,black (19).jpg,#955937,149,89,55,112,149,158,19.49
black (2).jpg,Black,100,74,57,86,137,143,ok,black (2).jpg,#704932,112,73,50,89,142,148,2.05
black (20).jpg,Black,232,171,134,191,146,156,ok,black (20).jpg,#C87A4A,200,122,74,150,154,167,14.67
black (21).jpg,Black,89,55,41,68,141,143,ok,black (21).jpg,#57291C,87,41,28,58,148,146,8.52
black (22).jpg,Black,102,59,47,76,146,143,ok,black (22).jpg,#834735,131,71,53,95,152,150,12.47
black (23).jpg,Black,95,71,59,83,137,139,ok,black (23).jpg,#703619,112,54,25,76,152,157,5.4
black (24).jpg,Black,121,71,38,90,146,156,ok,black (24).jpg,#9D6738,157,103,56,124,145,163,18.44
black (25).jpg,Black,110,68,59,85,145,141,ok,black (25).jpg,#7D4430,125,68,48,90,150,151,3.56
black (26).jpg,Black,123,79,59,97,144,148,ok,black (26).jpg,#9E6048,158,96,72,120,151,152,12.31
black (27).jpg,Black,82,56,45,67,138,139,ok,black (27).jpg,#846046,132,96,70,112,139,149,28.41
black (28).jpg,Black,103,66,61,82,143,138,ok,black (28).jpg,#473B3C,71,59,60,67,133,130,11.1
black (29).jpg,Black,200,138,114,161,149,150,ok,black (29).jpg,#733215,115,50,21,75,155,159,42.64
black (3).jpg,Black,103,63,50,79,144,143,ok,black (3).jpg,#534035,83,64,53,74,134,138,3.93
black (30).jpg,Black,105,66,53,82,143,143,ok,black (30).jpg,#613729,97,55,41,71,145,145,7.91
black (31).jpg,Black,114,72,48,89,143,150,ok,black (31).jpg,#90512F,144,81,47,105,151,159,9.47
black (32).jpg,Black,212,138,102,164,152,159,ok,black (32).jpg,#8E4723,142,71,35,98,155,162,29.82
black (33).jpg,Black,135,77,53,100,150,152,ok,black (33).jpg,#624125,98,65,37,78,139,151,14.13
black (34).jpg,Black,123,79,61,97,144,146,ok,black (34).jpg,#7C483A,124,72,58,93,149,146,2.67
black (35).jpg,Black,95,63,57,77,141,137,ok,black (35).jpg,#582814,88,40,20,57,148,151,16.19
black (36).jpg,Black,118,76,61,94,144,144,ok,black (36).jpg,#813A1C,129,58,28,85,157,160,6.02
black (37).jpg,Black,97,58,42,73,143,145,ok,black (37).jpg,#885239,136,82,57,103,148,152,19.18
black (38).jpg,Black,131,83,59,102,145,150,ok,black (38).jpg,#6D5356,109,83,86,97,139,130,4.75
black (39).jpg,Black,126,79,55,98,145,150,ok,black (39).jpg,#874435,135,68,53,95,155,150,2.93
black (4).jpg,Black,76,58,48,66,135,137,ok,black (4).jpg,#3F2D23,63,45,35,52,134,138,12.5
black (40).jpg,Black,86,65,64,76,137,132,ok,black (40).jpg,#83472D,131,71,45,95,151,155,12.87
black (41).jpg,Black,124,74,48,94,146,152,ok,black (41).jpg,#A16B51,161,107,81,128,147,151,17.78
black (42).jpg,Black,102,73,63,86,139,139,ok,black (42).jpg,#803309,128,51,9,81,159,167,4.91
black (43).jpg,Black,213,155,131,176,147,149,ok,black (43).jpg,#995A42,153,90,66,115,151,153,25.1
black (44).jpg,Black,108,68,53,85,143,144,ok,black (44).jpg,#8F5844,143,88,68,110,148,149,14.64
black (45).jpg,Black,176,109,83,135,152,154,ok,black (45).jpg,#B56E4C,181,110,76,137,153,159,1.29
black (46).jpg,Black,188,139,123,159,144,144,ok,black (46).jpg,#844D38,132,77,56,99,149,150,27.49
black (47).jpg,Black,127,97,77,111,137,144,ok,black (47).jpg,#835A44,131,90,68,107,142,147,2.25
black (48).jpg,Black,155,91,71,116,152,151,ok,black (48).jpg,#9E6D4A,158,109,74,129,143,155,6.9
black (49).jpg,Black,165,135,118,150,137,141,ok,black (49).jpg,#6A4F3D,106,79,61,92,137,143,28.12
black (5).jpg,Black,84,67,59,77,134,136,ok,black (5).jpg,#3A2920,58,41,32,47,134,137,25.67
black (50).jpg,Black,213,146,119,170,150,153,ok,black (50).jpg,#9C4D32,156,77,50,108,159,159,26.6
black (51).jpg,Black,210,156,123,175,144,153,ok,black (51).jpg,#A96743,169,103,67,128,151,159,18.67
black (52).jpg,Black,201,141,108,163,147,155,ok,black (52).jpg,#9C6953,156,105,83,126,146,149,15.36
black (53).jpg,Black,99,76,68,88,136,136,ok,black (53).jpg,#8A7874,138,120,116,133,134,133,23.63
black (54).jpg,Black,124,83,68,101,143,144,ok,black (54).jpg,#784230,120,66,48,87,149,149,8.49
black (55).jpg,Black,127,81,69,100,146,143,ok,black (55).jpg,#B2725C,178,114,92,139,151,151,19.15
black (56).jpg,Black,221,171,160,189,145,141,ok,black (56).jpg,#B96F64,185,111,100,139,156,147,18.53
black (57).jpg,Black,133,85,65,105,145,148,ok,black (57).jpg,#B26F54,178,111,84,136,152,154,15.11
black (58).jpg,Black,201,161,145,177,140,142,ok,black (58).jpg,#A06A51,160,106,81,128,147,151,19.36
