filename,label,R,G,B,L,A,B_lab,status
black (1).jpg,Black,129,81,65,101,146,146,ok
black (10).jpg,Black,69,51,33,58,133,143,ok
black (100).jpg,Black,115,65,47,85,147,148,ok
black (102).jpg,Black,95,61,49,75,141,141,ok
black (103).jpg,Black,91,71,58,82,134,139,ok
black (104).jpg,Black,99,73,57,85,137,142,ok
black (105).jpg,Black,93,52,41,68,145,143,ok
black (106).jpg,Black,97,71,64,84,138,137,ok
black (107).jpg,Black,74,57,47,65,134,137,ok
black (108).jpg,Black,95,56,50,72,145,139,ok
black (109).jpg,Black,111,87,67,99,135,143,ok
black (11).jpg,Black,89,70,62,80,135,136,ok
black (110).jpg,Black,113,78,47,93,139,152,ok
black (111).jpg,Black,86,50,36,63,143,144,ok
black (112).jpg,Black,89,70,62,80,135,136,ok
black (113).jpg,Black,138,87,63,107,146,151,ok
black (114).jpg,Black,90,58,52,71,141,138,ok
black (115).jpg,Black,110,72,50,88,141,148,ok
black (116).jpg,Black,113,64,46,83,147,148,ok
black (117).jpg,Black,87,56,40,68,140,144,ok
black (118).jpg,Black,108,73,57,88,141,144,ok
black (119).jpg,Black,213,151,121,173,148,153,ok
black (12).jpg,Black,115,79,66,95,141,142,ok
black (120).jpg,Black,90,50,39,65,145,143,ok
black (121).jpg,Black,69,47,45,56,138,133,ok
black (122).jpg,Black,78,58,43,67,135,141,ok
black (123).jpg,Black,94,69,50,80,136,144,ok
black (124).jpg,Black,112,82,62,96,138,145,ok
black (125).jpg,Black,110,64,49,82,146,146,ok
black (13).jpg,Black,78,58,43,67,135,141,ok
black (14).jpg,Black,112,82,62,96,138,145,ok
black (15).jpg,Black,187,140,123,159,144,144,ok
black (16).jpg,Black,110,64,56,83,147,141,ok
black (17).jpg,Black,87,60,49,72,138,139,ok
black (18).jpg,Black,87,56,40,68,140,144,ok
black (19).jpg,Black,182,128,96,149,145,154,ok
black (2).jpg,Black,91,68,54,79,136,140,ok
black (20).jpg,Black,226,169,136,188,145,153,ok
black (21).jpg,Black,89,55,42,69,141,143,ok
black (22).jpg,Black,93,53,43,69,145,142,ok
black (23).jpg,Black,88,67,57,78,135,138,ok
black (24).jpg,Black,111,66,37,83,145,153,ok
black (25).jpg,Black,104,64,56,81,144,140,ok
black (26).jpg,Black,115,74,55,91,143,146,ok
black (27).jpg,Black,80,56,45,66,137,139,ok
black (28).jpg,Black,90,58,52,71,141,138,ok
black (29).jpg,Black,109,60,40,79,148,150,ok
black (3).jpg,Black,98,60,48,75,143,142,ok
black (30).jpg,Black,94,59,48,73,142,141,ok
black (31).jpg,Black,110,72,50,88,141,148,ok
black (32).jpg,Black,96,49,28,67,147,151,ok
black (33).jpg,Black,113,64,46,83,147,148,ok
black (34).jpg,Black,112,71,54,88,143,146,ok
black (35).jpg,Black,93,62,57,75,141,137,ok
black (36).jpg,Black,111,74,61,90,142,142,ok
black (37).jpg,Black,90,54,39,68,143,144,ok
black (38).jpg,Black,175,124,96,144,144,151,ok
black (39).jpg,Black,102,64,46,80,142,146,ok
black (4).jpg,Black,74,57,47,65,134,137,ok
black (40).jpg,Black,84,62,62,73,137,132,ok
black (41).jpg,Black,101,61,40,77,143,148,ok
black (42).jpg,Black,89,61,53,73,139,138,ok
black (43).jpg,Black,122,76,59,95,145,146,ok
black (44).jpg,Black,98,62,48,77,142,143,ok
black (45).jpg,Black,207,147,120,169,147,151,ok
black (46).jpg,Black,182,137,121,156,143,143,ok
black (47).jpg,Black,174,141,119,156,137,144,ok
black (48).jpg,Black,131,74,59,97,150,148,ok
black (49).jpg,Black,106,82,68,94,136,140,ok
black (5).jpg,Black,73,53,44,62,135,137,ok
black (50).jpg,Black,112,63,47,82,148,147,ok
black (51).jpg,Black,203,151,122,170,144,151,ok
black (52).jpg,Black,184,129,102,150,146,151,ok
black (53).jpg,Black,94,74,66,85,135,136,ok
black (54).jpg,Black,108,71,59,87,142,142,ok
black (55).jpg,Black,213,179,166,193,138,139,ok
black (56).jpg,Black,217,170,161,188,144,139,ok
black (57).jpg,Black,120,77,60,95,144,145,ok
black (58).jpg,Black,195,157,141,173,140,142,ok
black (59).jpg,Black,85,56,46,68,139,139,ok
black (6).jpg,Black,96,66,53,79,139,141,ok
black (60).jpg,Black,199,168,158,182,138,137,ok
black (61).jpg,Black,158,102,88,125,149,145,ok
black (62).jpg,Black,187,147,128,164,140,144,ok
black (63).jpg,Black,135,92,79,110,144,142,ok
black (64).jpg,Black,111,67,43,85,144,151,ok
black (65).jpg,Black,180,133,129,153,146,137,ok
black (66).jpg,Black,98,60,48,75,143,142,ok
black (67).jpg,Black,104,65,58,81,144,139,ok
black (68).jpg,Black,114,74,50,90,142,149,ok
black (69).jpg,Black,240,182,147,200,145,154,ok
black (7).jpg,Black,116,72,55,90,145,146,ok
black (70).jpg,Black,107,74,65,89,140,139,ok
black (71).jpg,Black,187,144,122,161,141,146,ok
black (72).jpg,Black,103,66,51,81,142,144,ok
black (73).jpg,Black,192,139,115,159,145,149,ok
black (74).jpg,Black,93,70,60,81,136,138,ok
black (75).jpg,Black,90,67,34,77,134,152,ok
black (76).jpg,Black,110,83,67,96,137,142,ok
black (77).jpg,Black,206,153,127,173,144,149,ok
black (78).jpg,Black,211,164,142,181,142,146,ok
black (79).jpg,Black,204,151,127,171,145,148,ok
black (8).jpg,Black,113,78,47,93,139,152,ok
black (80).jpg,Black,125,97,89,112,138,137,ok
black (81).jpg,Black,94,69,60,81,137,138,ok
black (82).jpg,Black,103,69,53,83,141,143,ok
black (83).jpg,Black,92,59,53,73,142,138,ok
black (84).jpg,Black,102,71,60,85,140,140,ok
black (85).jpg,Black,110,72,50,88,141,148,ok
black (86).jpg,Black,116,70,45,88,145,151,ok
black (87).jpg,Black,178,132,113,151,143,145,ok
black (88).jpg,Black,142,95,71,114,145,149,ok
black (89).jpg,Black,94,58,54,73,144,137,ok
black (9).jpg,Black,119,72,46,90,145,152,ok
black (90).jpg,Black,96,69,44,81,136,148,ok
black (91).jpg,Black,111,72,57,88,143,144,ok
black (92).jpg,Black,102,68,50,82,140,145,ok
black (93).jpg,Black,97,56,43,72,145,144,ok
black (94).jpg,Black,227,153,117,178,152,158,ok
black (95).jpg,Black,183,132,108,152,144,149,ok
black (97).jpg,Black,119,77,57,94,143,147,ok
black (98).jpg,Black,109,69,54,85,143,144,ok
black (99).jpg,Black,106,69,59,85,143,141,ok
brown (1).jpg,Brown,211,150,117,172,147,154,ok
brown (10).jpg,Brown,225,153,128,178,152,152,ok
brown (100).jpg,Brown,221,170,138,188,143,152,ok
brown (101).jpg,Brown,241,190,141,205,140,160,ok
brown (102).jpg,Brown,231,170,138,190,146,153,ok
brown (103).jpg,Brown,198,156,128,172,140,149,ok
brown (104).jpg,Brown,145,97,73,117,145,149,ok
brown (105).jpg,Brown,199,161,126,176,137,151,ok
brown (106).jpg,Brown,225,179,147,195,140,151,ok
brown (107).jpg,Brown,207,153,137,173,146,144,ok
brown (108).jpg,Brown,207,155,122,174,143,153,ok
brown (109).jpg,Brown,214,165,137,183,142,149,ok
brown (11).jpg,Brown,221,161,121,181,145,158,ok
brown (110).jpg,Brown,202,148,121,168,145,150,ok
brown (111).jpg,Brown,202,154,113,171,141,156,ok
brown (112).jpg,Brown,215,166,140,184,142,148,ok
brown (113).jpg,Brown,113,75,54,91,142,147,ok
brown (114).jpg,Brown,161,121,99,138,141,146,ok
brown (115).jpg,Brown,204,174,159,187,136,140,ok
brown (116).jpg,Brown,205,154,125,173,143,151,ok
brown (117).jpg,Brown,208,170,146,185,138,146,ok
brown (118).jpg,Brown,208,162,143,180,142,144,ok
brown (119).jpg,Brown,211,165,120,181,139,158,ok
brown (12).jpg,Brown,187,145,140,163,143,137,ok
brown (120).jpg,Brown,206,155,144,175,146,141,ok
brown (121).jpg,Brown,240,172,138,194,149,155,ok
brown (122).jpg,Brown,206,158,131,176,142,149,ok
brown (123).jpg,Brown,213,151,122,173,148,152,ok
brown (124).jpg,Brown,205,152,132,172,145,146,ok
brown (125).jpg,Brown,191,143,122,162,143,146,ok
brown (13).jpg,Brown,226,178,167,195,144,140,ok
brown (14).jpg,Brown,208,170,146,185,138,146,ok
brown (15).jpg,Brown,223,176,160,193,143,143,ok
brown (16).jpg,Brown,213,167,138,184,141,149,ok
brown (17).jpg,Brown,224,159,129,181,149,153,ok
brown (18).jpg,Brown,233,173,143,193,146,152,ok
brown (19).jpg,Brown,127,85,63,103,143,148,ok
brown (2).jpg,Brown,214,157,124,177,145,154,ok
brown (20).jpg,Brown,198,141,105,162,145,156,ok
brown (21).jpg,Brown,200,141,107,162,146,155,ok
brown (22).jpg,Brown,127,83,60,101,144,149,ok
brown (23).jpg,Brown,222,170,135,188,143,153,ok
brown (24).jpg,Brown,171,136,128,152,140,137,ok
brown (25).jpg,Brown,206,160,141,178,142,144,ok
brown (26).jpg,Brown,218,167,138,185,143,150,ok
brown (27).jpg,Brown,218,163,137,182,145,149,ok
brown (28).jpg,Brown,209,163,136,180,141,149,ok
brown (29).jpg,Brown,205,157,136,175,143,146,ok
brown (3).jpg,Brown,194,142,108,161,143,154,ok
brown (30).jpg,Brown,218,168,131,185,142,154,ok
brown (31).jpg,Brown,224,172,135,190,142,154,ok
brown (32).jpg,Brown,226,167,146,187,147,147,ok
brown (33).jpg,Brown,226,180,158,196,142,146,ok
brown (34).jpg,Brown,235,172,140,193,147,154,ok
brown (35).jpg,Brown,220,171,143,188,142,149,ok
brown (36).jpg,Brown,226,176,143,193,142,152,ok
brown (37).jpg,Brown,234,190,162,204,140,148,ok
brown (38).jpg,Brown,129,83,61,102,145,149,ok
brown (39).jpg,Brown,216,171,142,187,140,149,ok
brown (4).jpg,Brown,222,167,124,185,143,158,ok
brown (40).jpg,Brown,216,170,141,187,141,149,ok
brown (41).jpg,Brown,204,174,127,185,132,156,ok
brown (42).jpg,Brown,189,144,118,162,142,148,ok
brown (43).jpg,Brown,227,159,115,181,148,161,ok
brown (44).jpg,Brown,196,154,133,171,141,145,ok
brown (45).jpg,Brown,217,156,128,177,147,152,ok
brown (46).jpg,Brown,231,155,110,180,152,163,ok
brown (47).jpg,Brown,215,166,111,182,139,163,ok
brown (48).jpg,Brown,237,177,143,196,146,154,ok
brown (49).jpg,Brown,235,175,138,194,145,156,ok
brown (5).jpg,Brown,235,161,125,185,151,158,ok
brown (50).jpg,Brown,215,161,130,180,144,152,ok
brown (51).jpg,Brown,209,152,129,173,146,149,ok
brown (52).jpg,Brown,232,187,162,202,141,147,ok
brown (53).jpg,Brown,232,182,158,199,143,147,ok
brown (54).jpg,Brown,207,152,123,172,145,151,ok
brown (55).jpg,Brown,219,176,156,192,141,144,ok
brown (56).jpg,Brown,223,174,148,191,142,148,ok
brown (57).jpg,Brown,194,146,140,166,145,138,ok
brown (58).jpg,Brown,226,159,128,182,149,154,ok
brown (59).jpg,Brown,201,159,143,176,141,142,ok
brown (6).jpg,Brown,195,175,132,184,129,153,ok
brown (60).jpg,Brown,228,173,133,191,143,156,ok
brown (61).jpg,Brown,202,155,126,173,142,150,ok
brown (62).jpg,Brown,134,90,65,108,143,150,ok
brown (63).jpg,Brown,198,143,115,164,145,151,ok
brown (64).jpg,Brown,222,174,128,190,140,158,ok
brown (65).jpg,Brown,195,145,129,165,145,144,ok
brown (66).jpg,Brown,210,154,141,175,147,143,ok
brown (67).jpg,Brown,196,150,119,168,141,151,ok
brown (68).jpg,Brown,224,166,154,187,148,143,ok
brown (69).jpg,Brown,187,147,128,164,140,144,ok
brown (7).jpg,Brown,230,178,144,195,142,153,ok
brown (70).jpg,Brown,236,181,155,199,144,149,ok
brown (71).jpg,Brown,242,170,137,193,151,156,ok
brown (72).jpg,Brown,228,180,156,196,142,147,ok
brown (73).jpg,Brown,228,170,143,190,146,150,ok
brown (74).jpg,Brown,236,175,148,195,147,151,ok
brown (75).jpg,Brown,222,175,146,191,141,149,ok
brown (76).jpg,Brown,220,168,141,186,143,149,ok
brown (77).jpg,Brown,232,172,134,192,145,156,ok
brown (78).jpg,Brown,213,164,136,182,142,150,ok
brown (79).jpg,Brown,205,144,113,166,147,154,ok
brown (8).jpg,Brown,209,158,140,177,145,145,ok
brown (80).jpg,Brown,221,166,145,186,145,147,ok
brown (81).jpg,Brown,226,180,160,196,142,145,ok
brown (82).jpg,Brown,242,170,146,194,151,151,ok
brown (83).jpg,Brown,236,182,153,200,144,150,ok
brown (84).jpg,Brown,130,83,69,102,146,144,ok
brown (85).jpg,Brown,203,132,98,158,152,158,ok
brown (86).jpg,Brown,225,165,139,186,147,150,ok
brown (87).jpg,Brown,227,165,136,186,147,152,ok
brown (88).jpg,Brown,231,178,145,196,143,152,ok
brown (89).jpg,Brown,200,159,141,175,141,143,ok
brown (9).jpg,Brown,204,149,106,169,143,159,ok
brown (90).jpg,Brown,211,167,148,184,141,144,ok
brown (91).jpg,Brown,187,159,139,172,135,142,ok
brown (92).jpg,Brown,224,168,148,188,146,146,ok
brown (93).jpg,Brown,236,173,145,194,148,151,ok
brown (94).jpg,Brown,241,190,140,205,140,160,ok
brown (95).jpg,Brown,224,165,156,186,149,141,ok
brown (96).jpg,Brown,221,172,155,190,144,144,ok
brown (97).jpg,Brown,196,155,130,171,140,147,ok
brown (98).jpg,Brown,220,171,157,189,144,142,ok
brown (99).jpg,Brown,237,170,154,193,151,146,ok
white (1).jpg,White,229,199,178,210,135,142,ok
white (10).jpg,White,211,192,183,202,133,135,ok
white (100).jpg,White,223,183,165,198,140,143,ok
white (101).jpg,White,219,173,155,190,142,144,ok
white (102).jpg,White,232,205,193,215,136,137,ok
white (103).jpg,White,226,199,183,209,135,140,ok
white (104).jpg,White,233,176,150,195,145,149,ok
white (105).jpg,White,214,190,164,200,133,144,ok
white (106).jpg,White,226,183,153,198,139,149,ok
white (107).jpg,White,207,179,162,191,135,140,ok
white (108).jpg,White,213,188,173,199,135,139,ok
white (109).jpg,White,219,187,167,199,136,142,ok
white (11).jpg,White,222,196,187,207,136,136,ok
white (110).jpg,White,220,177,156,193,141,145,ok
white (111).jpg,White,216,174,168,190,142,137,ok
