filename,label,R,G,B,L,A,B_lab,status
black (1).jpg,Black,139,87,67,108,147,148,ok
black (10).jpg,Black,67,48,31,55,135,142,ok
black (100).jpg,Black,134,76,53,99,150,152,ok
black (101).jpg,Black,82,65,55,74,134,137,ok
black (102).jpg,Black,100,64,50,79,142,143,ok
black (103).jpg,Black,104,79,63,91,136,142,ok
black (104).jpg,Black,104,77,59,89,137,143,ok
black (105).jpg,Black,108,65,49,82,145,146,ok
black (106).jpg,Black,172,132,120,150,141,140,ok
black (107).jpg,Black,76,58,48,66,135,137,ok
black (108).jpg,Black,97,56,50,73,145,140,ok
black (109).jpg,Black,121,97,75,110,134,144,ok
black (11).jpg,Black,106,83,74,95,136,137,ok
black (110).jpg,Black,123,83,48,99,141,155,ok
black (111).jpg,Black,100,59,41,75,144,147,ok
black (112).jpg,Black,106,83,74,95,136,137,ok
black (113).jpg,Black,148,94,68,115,147,152,ok
black (114).jpg,Black,103,66,61,82,143,138,ok
black (115).jpg,Black,114,72,48,89,143,150,ok
black (116).jpg,Black,135,77,53,100,150,152,ok
black (117).jpg,Black,96,60,41,74,142,146,ok
black (118).jpg,Black,127,87,68,104,142,146,ok
black (119).jpg,Black,230,163,134,186,149,153,ok
black (12).jpg,Black,128,83,69,102,145,144,ok
black (120).jpg,Black,92,48,36,65,147,144,ok
black (121).jpg,Black,74,51,49,61,138,133,ok
black (122).jpg,Black,78,57,41,66,135,142,ok
black (123).jpg,Black,105,75,55,88,138,145,ok
black (124).jpg,Black,125,91,68,106,139,147,ok
black (125).jpg,Black,126,73,57,94,149,147,ok
black (13).jpg,Black,78,57,41,66,135,142,ok
black (14).jpg,Black,125,91,68,106,139,147,ok
black (15).jpg,Black,186,136,118,156,145,145,ok
black (16).jpg,Black,122,70,61,91,149,143,ok
black (17).jpg,Black,96,66,52,79,139,142,ok
black (18).jpg,Black,96,60,41,74,142,146,ok
black (19).jpg,Black,190,135,101,156,145,155,ok
black (2).jpg,Black,100,74,57,86,137,143,ok
black (20).jpg,Black,232,171,134,191,146,156,ok
black (21).jpg,Black,89,55,41,68,141,143,ok
black (22).jpg,Black,102,59,47,76,146,143,ok
black (23).jpg,Black,95,71,59,83,137,139,ok
black (24).jpg,Black,121,71,38,90,146,156,ok
black (25).jpg,Black,110,68,59,85,145,141,ok
black (26).jpg,Black,123,79,59,97,144,148,ok
black (27).jpg,Black,82,56,45,67,138,139,ok
black (28).jpg,Black,103,66,61,82,143,138,ok
black (29).jpg,Black,200,138,114,161,149,150,ok
black (3).jpg,Black,103,63,50,79,144,143,ok
black (30).jpg,Black,105,66,53,82,143,143,ok
black (31).jpg,Black,114,72,48,89,143,150,ok
black (32).jpg,Black,212,138,102,164,152,159,ok
black (33).jpg,Black,135,77,53,100,150,152,ok
black (34).jpg,Black,123,79,61,97,144,146,ok
black (35).jpg,Black,95,63,57,77,141,137,ok
black (36).jpg,Black,118,76,61,94,144,144,ok
black (37).jpg,Black,97,58,42,73,143,145,ok
black (38).jpg,Black,131,83,59,102,145,150,ok
black (39).jpg,Black,126,79,55,98,145,150,ok
black (4).jpg,Black,76,58,48,66,135,137,ok
black (40).jpg,Black,86,65,64,76,137,132,ok
black (41).jpg,Black,124,74,48,94,146,152,ok
black (42).jpg,Black,102,73,63,86,139,139,ok
black (43).jpg,Black,213,155,131,176,147,149,ok
black (44).jpg,Black,108,68,53,85,143,144,ok
black (45).jpg,Black,176,109,83,135,152,154,ok
black (46).jpg,Black,188,139,123,159,144,144,ok
black (47).jpg,Black,127,97,77,111,137,144,ok
black (48).jpg,Black,155,91,71,116,152,151,ok
black (49).jpg,Black,165,135,118,150,137,141,ok
black (5).jpg,Black,84,67,59,77,134,136,ok
black (50).jpg,Black,213,146,119,170,150,153,ok
black (51).jpg,Black,210,156,123,175,144,153,ok
black (52).jpg,Black,201,141,108,163,147,155,ok
black (53).jpg,Black,99,76,68,88,136,136,ok
black (54).jpg,Black,124,83,68,101,143,144,ok
black (55).jpg,Black,127,81,69,100,146,143,ok
black (56).jpg,Black,221,171,160,189,145,141,ok
black (57).jpg,Black,133,85,65,105,145,148,ok
black (58).jpg,Black,201,161,145,177,140,142,ok
black (59).jpg,Black,103,69,56,83,141,142,ok
black (6).jpg,Black,110,72,54,88,142,145,ok
black (60).jpg,Black,137,97,82,115,142,143,ok
black (61).jpg,Black,204,146,132,168,148,144,ok
black (62).jpg,Black,199,155,137,172,142,144,ok
black (63).jpg,Black,148,100,85,120,145,144,ok
black (64).jpg,Black,134,83,55,103,146,153,ok
black (65).jpg,Black,183,135,132,155,146,137,ok
black (66).jpg,Black,103,63,49,79,144,144,ok
black (67).jpg,Black,102,61,53,78,145,140,ok
black (68).jpg,Black,207,146,100,167,146,161,ok
black (69).jpg,Black,250,198,160,213,142,154,ok
black (7).jpg,Black,126,73,51,94,148,151,ok
black (70).jpg,Black,111,70,59,87,144,142,ok
black (71).jpg,Black,192,147,125,165,142,146,ok
black (72).jpg,Black,119,75,56,93,144,147,ok
black (73).jpg,Black,207,153,127,173,145,150,ok
black (74).jpg,Black,107,80,68,93,137,140,ok
black (75).jpg,Black,96,73,38,83,133,152,ok
black (76).jpg,Black,126,97,78,111,137,143,ok
black (77).jpg,Black,217,163,136,182,144,150,ok
black (78).jpg,Black,218,170,148,187,143,146,ok
black (79).jpg,Black,207,153,128,173,145,149,ok
black (8).jpg,Black,123,83,48,99,141,155,ok
black (80).jpg,Black,195,167,162,181,137,134,ok
