filename,R,G,B,HEX,L,a,b
white (1).jpg,226,197,176,#e2c5b0,82,7,14
white (2).jpg,213,198,192,#d5c6c0,81,4,5
white (3).jpg,221,186,174,#ddbaae,78,11,11
white (4).jpg,204,160,142,#cca08e,69,14,16
white (5).jpg,219,174,154,#dbae9a,75,14,17
white (6).jpg,212,186,208,#d4bad0,78,13,-8
white (7).jpg,185,137,102,#b98966,61,14,26
white (8).jpg,206,180,177,#ceb4b1,75,9,5
white (9).jpg,179,154,149,#b39a95,66,8,6
white (10).jpg,198,165,155,#c6a59b,71,10,10
white (11).jpg,191,177,171,#bfb1ab,73,4,5
white (12).jpg,215,189,182,#d7bdb6,79,8,7
white (13).jpg,198,153,139,#c6998b,67,15,14
white (14).jpg,214,174,156,#d6ae9c,74,12,15
white (15).jpg,184,135,121,#b88779,61,17,15
white (16).jpg,154,145,136,#9a9188,61,2,6
white (17).jpg,198,143,115,#c68f73,64,17,23
white (18).jpg,237,195,175,#edc3af,82,12,16
white (19).jpg,146,121,118,#927976,53,9,5
white (20).jpg,216,168,142,#d8a88e,73,14,20
white (21).jpg,194,162,154,#c2a29a,69,10,9
white (22).jpg,212,160,109,#d4a06d,70,13,34
white (23).jpg,204,167,138,#cca78a,71,9,20
white (24).jpg,208,162,146,#d0a292,71,15,15
white (25).jpg,203,179,175,#cbb3af,75,8,5
white (26).jpg,198,164,157,#c6a49d,70,11,8
white (27).jpg,206,178,138,#ceb28a,74,4,24
white (28).jpg,206,172,159,#ceac9f,73,10,11
white (29).jpg,182,167,150,#b6a796,69,3,11
white (30).jpg,175,132,120,#af8478,59,15,13
white (31).jpg,204,152,124,#cc987c,67,16,22
white (32).jpg,176,135,108,#b0876c,60,12,21
white (33).jpg,187,157,148,#bb9d94,67,10,9
white (34).jpg,236,204,199,#ecccc7,85,10,7
white (35).jpg,212,197,191,#d4c5bf,81,4,5
white (36).jpg,171,140,123,#ab8c7b,61,9,13
white (37).jpg,219,172,148,#dbac94,74,14,19
white (38).jpg,207,140,94,#cf8c5e,64,21,35
white (39).jpg,183,139,120,#b78b78,62,14,17
white (40).jpg,229,171,151,#e5ab97,75,19,19
white (41).jpg,187,169,166,#bba9a6,71,6,4
white (42).jpg,194,156,141,#c29c8d,67,12,13
white (43).jpg,184,163,151,#b8a397,69,6,9
white (44).jpg,218,161,121,#daa179,71,16,29
white (45).jpg,233,200,186,#e9c8ba,83,10,11
white (46).jpg,191,140,118,#bf8c76,63,17,19
white (47).jpg,153,113,101,#997165,51,14,13
white (48).jpg,152,134,124,#98867c,57,5,8
white (49).jpg,166,154,151,#a69a97,65,4,3
white (50).jpg,202,147,135,#ca9387,66,19,14
white (51).jpg,172,135,116,#ac8774,59,11,16
white (52).jpg,217,180,166,#d9b4a6,76,11,12
white (53).jpg,216,183,176,#d8b7b0,77,11,8
white (54).jpg,215,180,155,#d7b49b,76,9,17
white (55).jpg,167,133,107,#a7856b,58,9,19
white (56).jpg,164,135,133,#a48785,59,11,5
white (57).jpg,206,171,176,#ceabb0,73,13,2
white (58).jpg,192,139,114,#c08b72,62,17,21
white (59).jpg,212,165,150,#d4a596,72,15,14
white (60).jpg,185,161,149,#b9a195,68,7,10
white (61).jpg,211,178,150,#d3b296,75,8,19
white (62).jpg,189,159,149,#bd9f95,68,9,9
white (63).jpg,180,151,143,#b4978f,65,9,8
white (64).jpg,192,169,153,#c0a999,71,6,11
white (65).jpg,186,161,129,#baa181,68,4,20
white (66).jpg,228,189,174,#e4bdae,80,12,13
white (67).jpg,187,144,123,#bb907b,64,13,17
white (68).jpg,144,129,120,#908178,55,4,7
white (69).jpg,191,149,127,#bf957f,65,13,18
white (70).jpg,206,160,134,#cea086,69,13,20
white (71).jpg,219,174,155,#dbae9b,75,14,16
white (72).jpg,147,128,152,#938098,56,12,-10
white (73).jpg,178,144,110,#b2906e,62,8,23
white (74).jpg,211,182,160,#d3b6a0,76,7,15
white (75).jpg,171,117,87,#ab7557,54,18,25
white (76).jpg,157,126,115,#9d7e73,55,10,11
white (77).jpg,191,159,130,#bf9f82,68,8,20
white (78).jpg,170,126,105,#aa7e69,56,14,18
white (79).jpg,158,122,105,#9e7a69,54,12,15
white (80).jpg,134,113,101,#867165,49,6,10
white (81).jpg,199,164,140,#c7a48c,70,9,17
white (82).jpg,190,156,150,#be9c96,67,12,8
white (83).jpg,186,147,136,#ba9388,64,13,11
white (84).jpg,222,205,190,#decdbe,84,3,10
white (85).jpg,170,137,116,#aa8974,60,9,16
white (86).jpg,151,97,72,#976148,47,19,23
white (87).jpg,173,135,96,#ad8760,59,9,26
white (88).jpg,197,161,152,#c5a198,69,12,10
white (89).jpg,220,181,160,#dcb5a0,76,11,16
white (90).jpg,221,189,159,#ddbd9f,79,7,19
white (91).jpg,123,111,104,#7b6f68,48,3,6
white (92).jpg,146,113,97,#927161,51,11,14
white (93).jpg,132,106,88,#846a58,47,8,14
white (94).jpg,170,146,125,#aa927d,62,6,14
white (95).jpg,158,129,123,#9e817b,56,10,7
white (96).jpg,131,106,114,#836a72,47,12,-1
white (97).jpg,138,111,103,#8a6f67,49,9,8
white (98).jpg,163,124,109,#a37c6d,55,13,14
white (99).jpg,176,131,128,#b08380,59,17,8
white (100).jpg,100,78,67,#644e43,35,8,10
white (101).jpg,166,123,99,#a67b63,55,13,20
white (102).jpg,125,108,108,#7d6c6c,47,7,2
white (103).jpg,166,151,149,#a69795,64,5,3
white (104).jpg,168,160,142,#a8a08e,66,0,10
white (105).jpg,177,156,142,#b19c8e,66,6,10
white (106).jpg,137,109,84,#896d54,48,7,18
white (107).jpg,144,115,98,#907362,51,9,14
white (108).jpg,161,125,116,#a17d74,56,13,10
white (109).jpg,167,146,139,#a7928b,62,7,7
white (110).jpg,126,108,92,#7e6c5c,47,4,12
white (111).jpg,135,109,89,#876d59,48,7,15
white (112).jpg,135,122,111,#877a6f,52,3,8
white (113).jpg,164,122,109,#a47a6d,55,15,13
